系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
北京地铁,地铁12号线,东坝北,东坝西,900000058113010,900000077547003,1.914,
北京地铁,地铁12号线,东坝西,驼房营,900000077547003,900000077547004,2.568,
北京地铁,地铁12号线,驼房营,高家园,900000077547004,900000028907007,1.199,
北京地铁,地铁12号线,高家园,将台西,900000028907007,900000077547006,1.302,
北京地铁,地铁12号线,将台西,三元桥,900000077547006,110100023096003,2.323,
北京地铁,地铁12号线,三元桥,西坝河,110100023096003,900000077547008,1.341,
北京地铁,地铁12号线,西坝河,光熙门,900000077547008,110100033066004,0.941,
北京地铁,地铁12号线,光熙门,和平西桥,110100033066004,110100023100014,1.175,
北京地铁,地铁12号线,和平西桥,安贞桥,110100023100014,900000077547011,0.919,
北京地铁,地铁12号线,安贞桥,安华桥,900000077547011,110100023114006,1.113,
北京地铁,地铁12号线,安华桥,马甸桥,110100023114006,900000077547013,1.019,
北京地铁,地铁12号线,马甸桥,北太平庄,900000077547013,900000077547014,1.039,
北京地铁,地铁12号线,北太平庄,蓟门桥,900000077547014,110100023118022,1.199,
北京地铁,地铁12号线,蓟门桥,大钟寺,110100023118022,110100033066016,0.932,
北京地铁,地铁12号线,大钟寺,人民大学,110100033066016,110100023076009,2.026,
北京地铁,地铁12号线,人民大学,苏州桥,110100023076009,900000062236013,1.264,
北京地铁,地铁12号线,苏州桥,长春桥,900000062236013,110100023282045,1.231,
北京地铁,地铁12号线,长春桥,蓝靛厂,110100023282045,900000077547020,1.006,
北京地铁,地铁12号线,蓝靛厂,四季青桥,900000077547020,900000077547021,1.785,
