系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
北京地铁,地铁14号线,善各庄,0.0,0.0,116.478195,40.027160,900000028907001,,
北京地铁,地铁14号线,来广营,1.212,1.212,116.466999,40.020430,900000028907002,,
北京地铁,地铁14号线,东湖渠,1.097,2.309,116.467415,40.010566,900000028907003,,
北京地铁,地铁14号线,望京,1.35,3.659,116.469409,39.998521,110100023070003,,
北京地铁,地铁14号线,阜通,0.765,4.424,116.471544,39.991835,900000028907005,,
北京地铁,地铁14号线,望京南,1.188,5.612,116.481880,39.984670,900000028907006,,
北京地铁,地铁14号线,将台,1.675,7.287,116.490213,39.971026,900000028907008,,
北京地铁,地铁14号线,东风北桥,1.454,8.741,116.485919,39.958375,900000028907009,,
北京地铁,地铁14号线,枣营,1.839,10.58,116.474947,39.944132,900000028907010,,
北京地铁,地铁14号线,朝阳公园,1.217,11.797,116.478291,39.933492,900000028907011,,
北京地铁,地铁14号线,金台路,1.105,12.902,116.478115,39.923556,110100023339008,,
北京地铁,地铁14号线,大望路,1.709,14.611,116.475783,39.908287,110100023110022,,
北京地铁,地铁14号线,九龙山,1.697,16.308,116.478879,39.893210,110100023054014,,
北京地铁,地铁14号线,平乐园,0.892,17.2,116.477307,39.885275,900000028907016,,
北京地铁,地铁14号线,北工大西门,1.11,18.31,116.477282,39.875294,900000028907017,,
北京地铁,地铁14号线,十里河,1.928,20.238,116.458103,39.866135,110100023282025,,
北京地铁,地铁14号线,方庄,1.525,21.763,116.440244,39.865864,900000028907020,,
北京地铁,地铁14号线,蒲黄榆,1.465,23.228,116.423087,39.865584,110100023100003,,
北京地铁,地铁14号线,景泰,1.03,24.258,116.411026,39.865250,900000028907022,,
北京地铁,地铁14号线,永定门外,1.024,25.282,116.399369,39.867435,110100023114031,,
北京地铁,地铁14号线,北京南站,1.762,27.044,116.378963,39.865029,110100023076022,,
北京地铁,地铁14号线,景风门,1.135,28.179,116.366033,39.862631,900000028907026,,
北京地铁,地铁14号线,西铁营,0.872,29.051,116.355953,39.861358,900000028907027,,
北京地铁,地铁14号线,菜户营,1.347,30.398,116.342444,39.867627,900000028907028,,
北京地铁,地铁14号线,丽泽商务区,0.954,31.352,116.331268,39.867718,900000028907029,,
北京地铁,地铁14号线,东管头,0.86,32.212,116.321197,39.867570,900000028907030,,
北京地铁,地铁14号线,西局,1.462,33.674,116.304106,39.866676,110100023282038,,
北京地铁,地铁14号线,七里庄,0.838,34.512,116.294293,39.866981,110100023116007,,
北京地铁,地铁14号线,大井,1.568,36.08,116.276061,39.865226,900000028907033,,
北京地铁,地铁14号线,郭庄子,1.963,38.043,116.253068,39.864841,900000028907034,,
北京地铁,地铁14号线,大瓦窑,1.229,39.272,116.240480,39.859470,900000028907035,,
北京地铁,地铁14号线,园博园,3.321,42.593,116.201643,39.861328,900000028907036,,
北京地铁,地铁14号线,张郭庄,1.285,43.878,116.187193,39.858100,900000028907037,,
