系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
长春轨道交通,轨道交通4号线,天新路,0.0,0.0,125.366510,43.755248,220100020886022,,
长春轨道交通,轨道交通4号线,前十里堡,0.91,0.91,125.366346,43.763433,220100020886021,,
长春轨道交通,轨道交通4号线,天普路,0.885,1.795,125.366193,43.771389,220100020886020,,
长春轨道交通,轨道交通4号线,天青路,0.788,2.583,125.366048,43.778471,220100020886019,,
长春轨道交通,轨道交通4号线,福祉大路,1.001,3.584,125.367144,43.787442,220100020886018,,
长春轨道交通,轨道交通4号线,天工路,0.924,4.508,125.366364,43.795729,220100020886017,,
长春轨道交通,轨道交通4号线,宜盛街,1.284,5.792,125.365782,43.807269,220100020886016,,
长春轨道交通,轨道交通4号线,南环城路,1.134,6.926,125.365602,43.817469,220100020886015,,
长春轨道交通,轨道交通4号线,世荣路,0.869,7.795,125.365444,43.825280,220100020886014,,
长春轨道交通,轨道交通4号线,职业学院,0.865,8.66,125.366424,43.833026,220100020886013,,
长春轨道交通,轨道交通4号线,北海路,1.004,9.664,125.365017,43.841999,220100020886012,,
长春轨道交通,轨道交通4号线,威海路,0.969,10.633,125.364941,43.850712,220100020886011,,
长春轨道交通,轨道交通4号线,浦东路,0.706,11.339,125.364816,43.857058,220100020886010,,
长春轨道交通,轨道交通4号线,海口路,0.753,12.092,125.364668,43.863829,220100020886009,,
长春轨道交通,轨道交通4号线,公平路,0.915,13.007,125.364467,43.872059,220100020886008,,
长春轨道交通,轨道交通4号线,吉林大路,1.03,14.037,125.364291,43.881324,220100020886007,,
长春轨道交通,轨道交通4号线,东新路,1.22,15.257,125.366161,43.892212,220100020886006,,
长春轨道交通,轨道交通4号线,东大桥,1.127,16.384,125.357264,43.900059,220100020886005,,
长春轨道交通,轨道交通4号线,伪满皇宫,0.824,17.208,125.352451,43.906613,220100020886004,,
长春轨道交通,轨道交通4号线,北亚泰大街,1.392,18.6,125.337057,43.912412,220100020886003,,
长春轨道交通,轨道交通4号线,长春站北,1.047,19.647,125.324183,43.914054,220100020886002,,
