系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
成都地铁,地铁13号线,瓦窑滩,万家湾,900000150600001,900000150600002,1.367,
成都地铁,地铁13号线,万家湾,培风,900000150600002,900000075807003,1.441,
成都地铁,地铁13号线,培风,万寿桥,900000075807003,900000150600004,1.517,
成都地铁,地铁13号线,万寿桥,东坡路,900000150600004,900000039592042,1.428,
成都地铁,地铁13号线,东坡路,光华村,900000039592042,900000150600006,1.318,
成都地铁,地铁13号线,光华村,杜甫草堂,900000150600006,900000150600007,0.835,
成都地铁,地铁13号线,杜甫草堂,青羊宫,900000150600007,900000058344022,1.038,
成都地铁,地铁13号线,青羊宫,小南街,900000058344022,900000078664024,1.199,
成都地铁,地铁13号线,小南街,文翁石室,900000078664024,900000150600010,0.794,
成都地铁,地铁13号线,文翁石室,华西坝,900000150600010,510100022320009,1.107,
成都地铁,地铁13号线,华西坝,新南门,510100022320009,900000039590007,0.867,
成都地铁,地铁13号线,新南门,九眼桥,900000039590007,900000150600013,1.341,
成都地铁,地铁13号线,九眼桥,三官堂,900000150600013,900000061908010,1.381,
成都地铁,地铁13号线,三官堂,净居寺,900000061908010,900000075312008,1.148,
成都地铁,地铁13号线,净居寺,四川师大,900000075312008,900000039592051,1.847,
成都地铁,地铁13号线,四川师大,娇子立交,900000039592051,900000150600017,1.778,
成都地铁,地铁13号线,娇子立交,幸福梅林,900000150600017,900000150600018,1.29,
成都地铁,地铁13号线,幸福梅林,三圣花乡,900000150600018,900000150600019,1.289,
成都地铁,地铁13号线,三圣花乡,龙华寺,900000150600019,900000150600020,3.158,
成都地铁,地铁13号线,龙华寺,龙安,900000150600020,900000150600021,1.519,
