系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
成都地铁,地铁2号线,犀浦,0.0,0.0,103.969815,30.757706,510100024533027,,
成都地铁,地铁2号线,天河路,1.448,1.448,103.976163,30.745883,510100024533026,,
成都地铁,地铁2号线,百草路,1.457,2.905,103.979327,30.733062,510100024533025,,
成都地铁,地铁2号线,金周路,2.051,4.956,103.996175,30.721638,510100024533024,,
成都地铁,地铁2号线,金科北路,1.005,5.961,104.006635,30.720762,510100024533023,,
成都地铁,地铁2号线,迎宾大道,1.071,7.032,104.013528,30.713168,510100024533022,,
成都地铁,地铁2号线,茶店子客运站,0.799,7.831,104.013692,30.705986,510100024533021,,
成都地铁,地铁2号线,羊犀立交,1.346,9.177,104.012655,30.693913,510100024533020,,
成都地铁,地铁2号线,一品天下,0.866,10.043,104.019630,30.688942,510100024533019,,
成都地铁,地铁2号线,蜀汉路东,1.126,11.169,104.029048,30.682868,510100024533018,,
成都地铁,地铁2号线,白果林,1.081,12.25,104.033278,30.673851,510100024533017,,
成都地铁,地铁2号线,中医大·省医院,1.111,13.361,104.040612,30.666106,510100024533016,,
成都地铁,地铁2号线,通惠门,0.879,14.24,104.048523,30.662088,510100024533015,,
成都地铁,地铁2号线,人民公园,0.847,15.087,104.056779,30.659324,510100024533014,,
成都地铁,地铁2号线,天府广场,0.905,15.992,104.065891,30.657141,510100022320007,,
成都地铁,地铁2号线,春熙路,1.414,17.406,104.080019,30.653389,510100024533012,,
成都地铁,地铁2号线,东门大桥,0.906,18.312,104.087308,30.648192,510100024533011,,
成都地铁,地铁2号线,牛王庙,0.776,19.088,104.094539,30.645023,510100024533010,,
成都地铁,地铁2号线,牛市口,1.484,20.572,104.107662,30.637912,510100024533009,,
成都地铁,地铁2号线,东大路,0.627,21.199,104.112173,30.633816,510100024533008,,
成都地铁,地铁2号线,塔子山公园,1.137,22.336,104.122922,30.629465,510100024533007,,
成都地铁,地铁2号线,成都东客站,1.629,23.965,104.139950,30.629329,510100024533006,,
成都地铁,地铁2号线,成渝立交,0.874,24.839,104.147432,30.624822,510100024533005,,
成都地铁,地铁2号线,惠王陵,1.486,26.325,104.152086,30.612075,510100024533004,,
成都地铁,地铁2号线,洪河,0.941,27.266,104.157510,30.605015,510100024533003,,
成都地铁,地铁2号线,成都行政学院,1.537,28.803,104.170689,30.597115,510100024533002,,
成都地铁,地铁2号线,大面铺,2.976,31.779,104.201298,30.592400,510100024533033,,
成都地铁,地铁2号线,连山坡,1.221,33.0,104.212757,30.587580,510100024533032,,
成都地铁,地铁2号线,界牌,1.298,34.298,104.225134,30.582802,510100024533031,,
成都地铁,地铁2号线,书房,1.813,36.111,104.242134,30.575626,510100024533030,,
成都地铁,地铁2号线,龙平路,1.641,37.752,104.258988,30.572923,510100024533029,,
成都地铁,地铁2号线,龙泉驿,1.664,39.416,104.267966,30.560111,510100024533028,,
