系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
重庆轨道交通,轨道交通1号线,朝天门,小什字,500100022282026,500100021567003,0.788,
重庆轨道交通,轨道交通1号线,小什字,较场口,500100021567003,500100022282022,1.146,
重庆轨道交通,轨道交通1号线,较场口,七星岗,500100022282022,500100022282021,1.094,
重庆轨道交通,轨道交通1号线,七星岗,两路口,500100022282021,500100021584023,1.358,
重庆轨道交通,轨道交通1号线,两路口,鹅岭,500100021584023,500100022282019,1.578,
重庆轨道交通,轨道交通1号线,鹅岭,大坪,500100022282019,500100022282018,1.579,
重庆轨道交通,轨道交通1号线,大坪,石油路,500100022282018,500100022282017,1.133,
重庆轨道交通,轨道交通1号线,石油路,歇台子,500100022282017,500100022282016,0.893,
重庆轨道交通,轨道交通1号线,歇台子,石桥铺,500100022282016,500100022282015,1.528,
重庆轨道交通,轨道交通1号线,石桥铺,高庙村,500100022282015,500100022282014,1.57,
重庆轨道交通,轨道交通1号线,高庙村,马家岩,500100022282014,500100022282013,0.96,
重庆轨道交通,轨道交通1号线,马家岩,小龙坎,500100022282013,500100022282012,0.965,
重庆轨道交通,轨道交通1号线,小龙坎,沙坪坝,500100022282012,500100022282011,0.807,
重庆轨道交通,轨道交通1号线,沙坪坝,杨公桥,500100022282011,500100022282010,1.163,
重庆轨道交通,轨道交通1号线,杨公桥,烈士墓,500100022282010,500100022282009,0.802,
重庆轨道交通,轨道交通1号线,烈士墓,磁器口,500100022282009,500100022282008,1.037,
重庆轨道交通,轨道交通1号线,磁器口,石井坡,500100022282008,500100022282007,1.427,
重庆轨道交通,轨道交通1号线,石井坡,双碑,500100022282007,500100022282006,1.819,
重庆轨道交通,轨道交通1号线,双碑,赖家桥,500100022282006,500100022282005,6.104,
重庆轨道交通,轨道交通1号线,赖家桥,微电园,500100022282005,500100022282004,1.794,
重庆轨道交通,轨道交通1号线,微电园,陈家桥,500100022282004,500100022282003,3.334,
重庆轨道交通,轨道交通1号线,陈家桥,大学城,500100022282003,500100022282002,1.894,
重庆轨道交通,轨道交通1号线,大学城,尖顶坡,500100022282002,500100022282024,1.541,
重庆轨道交通,轨道交通1号线,尖顶坡,璧山,500100022282024,500100022282025,5.86,
