系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
广州地铁,地铁3号线,机场北(2号航站楼),0.0,0.0,113.305140,23.395529,440100023031016,,
广州地铁,地铁3号线,机场南(1号航站楼),1.036,1.036,113.303021,23.386415,440100023031002,,
广州地铁,地铁3号线,高增,3.559,4.595,113.295504,23.355162,440100023031003,,
广州地铁,地铁3号线,人和,2.218,6.813,113.295995,23.335224,440100023031004,,
广州地铁,地铁3号线,龙归,5.193,12.006,113.300834,23.288736,440100023031005,,
广州地铁,地铁3号线,嘉禾望岗,5.823,17.829,113.289243,23.237460,440100023031006,,
广州地铁,地铁3号线,白云大道北,1.899,19.728,113.297480,23.222149,440100023031007,,
广州地铁,地铁3号线,永泰,0.93,20.658,113.306235,23.219881,440100023031008,,
广州地铁,地铁3号线,同和,3.26,23.918,113.326264,23.197060,440100023031009,,
广州地铁,地铁3号线,京溪南方医院,1.316,25.234,113.326126,23.185225,440100023031010,,
广州地铁,地铁3号线,梅花园,1.269,26.503,113.320408,23.175098,440100023031011,,
广州地铁,地铁3号线,燕塘,1.785,28.288,113.327058,23.160257,440100023031012,,
广州地铁,地铁3号线,广州东站,1.054,29.342,113.324493,23.151077,440100023031013,,
广州地铁,地铁3号线,林和西,1.082,30.424,113.323902,23.141363,440100023025010,,
广州地铁,地铁3号线,体育西路,1.163,31.587,113.321503,23.131138,440100023031015,,
