系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
贵阳地铁,轨道交通2号线,白云北路,0.0,0.0,106.625255,26.692439,900000066417001,,
贵阳地铁,轨道交通2号线,白云中路,1.197,1.197,106.63138,26.683171,900000066417002,,
贵阳地铁,轨道交通2号线,云峰大道,0.849,2.046,106.62506,26.678026,900000066417003,,
贵阳地铁,轨道交通2号线,泉湖公园,1.04,3.086,106.621795,26.66914,900000066417004,,
贵阳地铁,轨道交通2号线,枫林路,0.957,4.043,106.61757,26.661408,900000066417005,,
贵阳地铁,轨道交通2号线,诚信路,1.14,5.183,106.617569,26.651159,900000066417006,,
贵阳地铁,轨道交通2号线,林城西路,0.66,5.843,106.617487,26.645228,900000066417007,,
贵阳地铁,轨道交通2号线,观山西路,1.14,6.983,106.61702,26.634981,900000066417008,,
贵阳地铁,轨道交通2号线,兴筑路,1.315,8.298,106.616523,26.623167,900000066417009,,
贵阳地铁,轨道交通2号线,金阳医院,1.363,9.661,106.621249,26.611661,900000066417010,,
贵阳地铁,轨道交通2号线,金阳南路,0.938,10.599,106.619938,26.603303,900000066417011,,
贵阳地铁,轨道交通2号线,茶园,0.822,11.421,106.623881,26.596805,900000066417012,,
贵阳地铁,轨道交通2号线,百花大道,1.504,12.925,106.636582,26.589454,900000066417013,,
贵阳地铁,轨道交通2号线,马王庙,1.685,14.61,106.653293,26.586923,900000066417014,,
贵阳地铁,轨道交通2号线,北京西路,0.953,15.563,106.660436,26.592642,900000066417015,,
贵阳地铁,轨道交通2号线,改茶路,1.209,16.772,106.667507,26.583797,900000066417016,,
贵阳地铁,轨道交通2号线,黔春路,1.283,18.055,106.679940,26.580707,900000066417017,,
贵阳地铁,轨道交通2号线,延安西路,1.776,19.831,106.697750,26.581929,900000066417018,,
贵阳地铁,轨道交通2号线,紫林庵,0.759,20.59,106.705365,26.582337,900000066417019,,
贵阳地铁,轨道交通2号线,喷水池,0.508,21.098,106.710272,26.583623,900000066417020,,
贵阳地铁,轨道交通2号线,阳明祠,1.279,22.377,106.723111,26.582990,900000066417021,,
贵阳地铁,轨道交通2号线,省人民医院,0.648,23.025,106.724577,26.577308,900000066417022,,
贵阳地铁,轨道交通2号线,宝山南路,0.898,23.923,106.729154,26.570346,900000066417023,,
贵阳地铁,轨道交通2号线,油榨街,0.932,24.855,106.731750,26.562296,900000066417024,,
贵阳地铁,轨道交通2号线,贵钢,0.871,25.726,106.731897,26.554461,900000066417025,,
贵阳地铁,轨道交通2号线,富源北路,0.895,26.621,106.738754,26.549254,900000066417026,,
贵阳地铁,轨道交通2号线,森林公园,3.19,29.811,106.770644,26.546210,900000066417027,,
贵阳地铁,轨道交通2号线,见龙洞,1.012,30.823,106.780787,26.546959,900000066417028,,
贵阳地铁,轨道交通2号线,龙洞堡机场,1.83,32.653,106.798835,26.543783,900000066417029,,
贵阳地铁,轨道交通2号线,小碧,1.376,34.029,106.789144,26.534948,900000066417030,,
贵阳地铁,轨道交通2号线,云盘,0.973,35.002,106.780733,26.530491,900000066417031,,
贵阳地铁,轨道交通2号线,中兴路,1.325,36.327,106.777530,26.518927,900000066417032,,
