系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
济南地铁,云巴1号线,徐马,春园路,900000235330022,900000235330053,1.041,
济南地铁,云巴1号线,春园路,市妇幼东院,900000235330053,900000235330052,0.691,
济南地铁,云巴1号线,市妇幼东院,山东职业学院(云巴),900000235330052,900000235330051,1.021,
济南地铁,云巴1号线,山东职业学院(云巴),庄科,900000235330051,900000235330050,1.068,
济南地铁,云巴1号线,庄科,春景路,900000235330050,900000235330049,0.858,
济南地铁,云巴1号线,春景路,科创城,900000235330049,900000235330048,0.769,
济南地铁,云巴1号线,科创城,春博路(云巴),900000235330048,900000235330047,0.954,
济南地铁,云巴1号线,春博路(云巴),孙村,900000235330047,900000235330046,0.924,
济南地铁,云巴1号线,孙村,彩虹湖东,900000235330046,900000235330045,0.553,
济南地铁,云巴1号线,彩虹湖东,彩虹湖,900000235330045,900000235330044,0.595,
济南地铁,云巴1号线,彩虹湖,春意路,900000235330044,900000235330043,1.115,
济南地铁,云巴1号线,春意路,春喧路,900000235330043,900000235330042,0.786,
济南地铁,云巴1号线,春喧路,沙沟,900000235330042,900000235330041,0.63,
济南地铁,云巴1号线,沙沟,科航路,900000235330041,900000235330040,0.908,
济南地铁,云巴1号线,科航路,春秀路,900000235330040,900000235330039,0.884,
济南地铁,云巴1号线,春秀路,唐宣路,900000235330039,900000235330038,1.964,
济南地铁,云巴1号线,唐宣路,历城文博中心,900000235330038,900000235330037,0.399,
济南地铁,云巴1号线,历城文博中心,唐冶(云巴),900000235330037,900000235330036,0.416,
济南地铁,云巴1号线,唐冶(云巴),贞观街,900000235330036,900000235330035,0.73,
济南地铁,云巴1号线,贞观街,历城二中唐冶校区(云巴),900000235330035,900000235330034,0.816,
济南地铁,云巴1号线,历城二中唐冶校区(云巴),彭家庄(云巴),900000235330034,900000235330033,0.608,
济南地铁,云巴1号线,彭家庄(云巴),唐冶东路,900000235330033,900000235330032,0.63,
济南地铁,云巴1号线,唐冶东路,武家庄,900000235330032,900000235330031,1.476,
济南地铁,云巴1号线,武家庄,武将山东,900000235330031,900000235330030,1.296,
济南地铁,云巴1号线,武将山东,科远路,900000235330030,900000235330029,0.646,
济南地铁,云巴1号线,科远路,世纪大道春喧路,900000235330029,900000235330028,1.007,
济南地铁,云巴1号线,世纪大道春喧路,春晖路,900000235330028,900000235330027,1.6,
济南地铁,云巴1号线,春晖路,高新实验中学,900000235330027,900000235330026,0.59,
济南地铁,云巴1号线,高新实验中学,高新一中,900000235330026,900000235330025,0.725,
济南地铁,云巴1号线,高新一中,西巨野河,900000235330025,900000235330024,0.852,
济南地铁,云巴1号线,西巨野河,大正路,900000235330024,900000235330023,1.271,
