系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
济南地铁,轨道交通2号线,王府庄,0.0,0.0,116.881587,36.623802,900000071030004,,
济南地铁,轨道交通2号线,腊山南,1.831,1.831,116.902058,36.624847,900000073474037,,
济南地铁,轨道交通2号线,腊山,3.422,5.253,116.918965,36.652471,900000073474036,,
济南地铁,轨道交通2号线,二环西路,1.702,6.955,116.932335,36.663397,900000073474035,,
济南地铁,轨道交通2号线,老屯,1.96,8.915,116.95404,36.666121,900000073474034,,
济南地铁,轨道交通2号线,八里桥,0.856,9.771,116.962142,36.670251,900000073474033,,
济南地铁,轨道交通2号线,益康路,0.986,10.757,116.972487,36.673391,900000073474032,,
济南地铁,轨道交通2号线,济南站北,1.213,11.97,116.985296,36.677061,900000073474031,,
济南地铁,轨道交通2号线,济泺路,1.173,13.143,116.994501,36.684591,900000073474030,,
济南地铁,轨道交通2号线,生产路,1.988,15.131,117.016792,36.684554,900000073474029,,
济南地铁,轨道交通2号线,北园,1.533,16.664,117.033849,36.686266,900000073474028,,
济南地铁,轨道交通2号线,历山路,0.779,17.443,117.041955,36.688889,900000073474027,,
济南地铁,轨道交通2号线,七里堡,2.292,19.735,117.067563,36.690665,900000073474026,,
济南地铁,轨道交通2号线,祝甸,1.517,21.252,117.082382,36.697363,900000073474025,,
济南地铁,轨道交通2号线,八涧堡,2.057,23.309,117.103395,36.704998,900000066599010,,
济南地铁,轨道交通2号线,姜家庄,2.159,25.468,117.127551,36.706385,900000073474023,,
济南地铁,轨道交通2号线,凤凰北路,1.622,27.09,117.145572,36.708422,900000073474022,,
济南地铁,轨道交通2号线,鲍山,3.78,30.87,117.187961,36.709211,900000073474021,,
济南地铁,轨道交通2号线,彭家庄,3.735,34.605,117.229862,36.709610,900000073474020,,
