系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
南昌地铁,地铁4号线,白马山,裕丰街,900000068673001,900000068673002,1.362,
南昌地铁,地铁4号线,裕丰街,璜溪,900000068673002,900000068673003,0.974,
南昌地铁,地铁4号线,璜溪,中堡,900000068673003,900000068673004,1.298,
南昌地铁,地铁4号线,中堡,礼庄山,900000068673004,900000068673005,1.817,
南昌地铁,地铁4号线,礼庄山,西站南广场,900000068673005,360100020563022,2.0,
南昌地铁,地铁4号线,西站南广场,怀玉山大道,360100020563022,900000068673007,0.941,
南昌地铁,地铁4号线,怀玉山大道,安丰,900000068673007,900000068673008,1.045,
南昌地铁,地铁4号线,安丰,东新,900000068673008,900000068673009,3.29,
南昌地铁,地铁4号线,东新,新洪城大市场,900000068673009,900000068673010,1.435,
南昌地铁,地铁4号线,新洪城大市场,丁家洲,900000068673010,900000068673011,1.938,
南昌地铁,地铁4号线,丁家洲,观洲,900000068673011,900000068673012,1.249,
南昌地铁,地铁4号线,观洲,云天路,900000068673012,900000068673013,0.915,
南昌地铁,地铁4号线,云天路,灌婴路,900000068673013,900000068673014,1.069,
南昌地铁,地铁4号线,灌婴路,南昌大桥东,900000068673014,900000068673015,0.946,
南昌地铁,地铁4号线,南昌大桥东,桃苑,900000068673015,900000068673016,1.333,
南昌地铁,地铁4号线,桃苑,绳金塔,900000068673016,900000057035011,1.089,
南昌地铁,地铁4号线,绳金塔,坛子口,900000057035011,900000068673018,0.83,
南昌地铁,地铁4号线,坛子口,丁公路南,900000068673018,360100020563037,0.723,
南昌地铁,地铁4号线,丁公路南,丁公路北,360100020563037,360100020431015,1.192,
南昌地铁,地铁4号线,丁公路北,人民公园,360100020431015,900000068673021,1.126,
南昌地铁,地铁4号线,人民公园,上沙沟,900000068673021,900000057035006,1.161,
南昌地铁,地铁4号线,上沙沟,起凤路,900000057035006,900000068673023,1.022,
南昌地铁,地铁4号线,起凤路,七里,900000068673023,900000068673024,1.296,
南昌地铁,地铁4号线,七里,民园路西,900000068673024,900000068673025,2.212,
南昌地铁,地铁4号线,民园路西,火炬,900000068673025,900000068673026,1.258,
南昌地铁,地铁4号线,火炬,北沥,900000068673026,900000068673027,1.201,
南昌地铁,地铁4号线,北沥,科技城,900000068673027,900000068673030,0.934,
南昌地铁,地铁4号线,科技城,鱼尾洲,900000068673030,900000068673029,2.041,
