系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
南京地铁,地铁2号线,鱼嘴,天保街,320100021495028,320100021495029,0.868,
南京地铁,地铁2号线,天保街,青莲街,320100021495029,320100021495030,1.304,
南京地铁,地铁2号线,青莲街,螺塘路,320100021495030,320100021299062,0.948,
南京地铁,地铁2号线,螺塘路,油坊桥,320100021299062,320100021307011,1.938,
南京地铁,地铁2号线,油坊桥,雨润大街,320100021307011,320100021495003,1.919,
南京地铁,地铁2号线,雨润大街,元通,320100021495003,320100021495004,1.316,
南京地铁,地铁2号线,元通,奥体东,320100021495004,320100021495005,1.251,
南京地铁,地铁2号线,奥体东,兴隆大街,320100021495005,320100021495006,1.348,
南京地铁,地铁2号线,兴隆大街,集庆门大街,320100021495006,320100021495007,1.517,
南京地铁,地铁2号线,集庆门大街,云锦路,320100021495007,320100021495008,1.015,
南京地铁,地铁2号线,云锦路,莫愁湖,320100021495008,320100021299052,1.188,
南京地铁,地铁2号线,莫愁湖,汉中门,320100021299052,320100021495010,0.917,
南京地铁,地铁2号线,汉中门,上海路,320100021495010,320100021495011,0.873,
南京地铁,地铁2号线,上海路,新街口,320100021495011,320100021495012,0.749,
南京地铁,地铁2号线,新街口,大行宫,320100021495012,320100021495013,1.0,
南京地铁,地铁2号线,大行宫,西安门·浦发银行,320100021495013,320100021495014,1.053,
南京地铁,地铁2号线,西安门·浦发银行,明故宫,320100021495014,320100021495015,1.322,
南京地铁,地铁2号线,明故宫,苜蓿园,320100021495015,320100021495016,1.471,
南京地铁,地铁2号线,苜蓿园,中山陵·下马坊,320100021495016,320100021495017,1.266,
南京地铁,地铁2号线,中山陵·下马坊,中山陵音乐台·孝陵卫,320100021495017,320100021495018,0.944,
南京地铁,地铁2号线,中山陵音乐台·孝陵卫,灵谷寺·钟灵街,320100021495018,320100021495019,1.146,
南京地铁,地铁2号线,灵谷寺·钟灵街,马群,320100021495019,320100021313002,2.657,
南京地铁,地铁2号线,马群,金马路,320100021313002,320100021293017,2.686,
南京地铁,地铁2号线,金马路,仙鹤门,320100021293017,320100021495022,1.474,
南京地铁,地铁2号线,仙鹤门,学则路,320100021495022,320100021495023,1.326,
南京地铁,地铁2号线,学则路,仙林中心,320100021495023,320100021495024,1.537,
南京地铁,地铁2号线,仙林中心,中医药大学·羊山公园,320100021495024,320100021495025,1.054,
南京地铁,地铁2号线,中医药大学·羊山公园,南大仙林校区,320100021495025,320100021495026,1.921,
南京地铁,地铁2号线,南大仙林校区,经天路,320100021495026,320100021495027,1.812,
