系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
南京地铁,地铁2号线,鱼嘴,0.0,0.0,118.669413,31.966803,320100021495028,,
南京地铁,地铁2号线,天保街,0.868,0.868,118.678564,31.965968,320100021495029,,
南京地铁,地铁2号线,青莲街,1.304,2.172,118.691716,31.962351,320100021495030,,
南京地铁,地铁2号线,螺塘路,0.948,3.12,118.701700,31.961404,320100021299062,,
南京地铁,地铁2号线,油坊桥,1.938,5.058,118.721361,31.966454,320100021307011,,
南京地铁,地铁2号线,雨润大街,1.919,6.977,118.722613,31.983679,320100021495003,,
南京地铁,地铁2号线,元通,1.316,8.293,118.721449,31.995471,320100021495004,,
南京地铁,地铁2号线,奥体东,1.251,9.544,118.729234,32.004581,320100021495005,,
南京地铁,地铁2号线,兴隆大街,1.348,10.892,118.735943,32.015283,320100021495006,,
南京地铁,地铁2号线,集庆门大街,1.517,12.409,118.739580,32.028573,320100021495007,,
南京地铁,地铁2号线,云锦路,1.015,13.424,118.747323,32.034912,320100021495008,,
南京地铁,地铁2号线,莫愁湖,1.188,14.612,118.759568,32.037428,320100021299052,,
南京地铁,地铁2号线,汉中门,0.917,15.529,118.766962,32.042784,320100021495010,,
南京地铁,地铁2号线,上海路,0.873,16.402,118.776208,32.042280,320100021495011,,
南京地铁,地铁2号线,新街口,0.749,17.151,118.784136,32.041806,320100021495012,,
南京地铁,地铁2号线,大行宫,1.0,18.151,118.794748,32.041717,320100021495013,,
南京地铁,地铁2号线,西安门·浦发银行,1.053,19.204,118.805761,32.040108,320100021495014,,
南京地铁,地铁2号线,明故宫,1.322,20.526,118.819746,32.039218,320100021495015,,
南京地铁,地铁2号线,苜蓿园,1.471,21.997,118.835310,32.040239,320100021495016,,
南京地铁,地铁2号线,中山陵·下马坊,1.266,23.263,118.848373,32.037578,320100021495017,,
南京地铁,地铁2号线,中山陵音乐台·孝陵卫,0.944,24.207,118.858058,32.035416,320100021495018,,
南京地铁,地铁2号线,灵谷寺·钟灵街,1.146,25.353,118.869395,32.039146,320100021495019,,
南京地铁,地铁2号线,马群,2.657,28.01,118.894721,32.049649,320100021313002,,
南京地铁,地铁2号线,金马路,2.686,30.696,118.906348,32.071699,320100021293017,,
南京地铁,地铁2号线,仙鹤门,1.474,32.17,118.904893,32.084898,320100021495022,,
南京地铁,地铁2号线,学则路,1.326,33.496,118.916778,32.091280,320100021495023,,
南京地铁,地铁2号线,仙林中心,1.537,35.033,118.930524,32.098725,320100021495024,,
南京地铁,地铁2号线,中医药大学·羊山公园,1.054,36.087,118.939971,32.103800,320100021495025,,
南京地铁,地铁2号线,南大仙林校区,1.921,38.008,118.959510,32.108763,320100021495026,,
南京地铁,地铁2号线,经天路,1.812,39.82,118.976654,32.116151,320100021495027,,
