系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
南通地铁,轨道交通2号线,幸福,长岸,900000099626001,900000099626003,2.595,
南通地铁,轨道交通2号线,长岸,北大街,900000099626003,900000099626004,1.258,
南通地铁,轨道交通2号线,北大街,北城大桥,900000099626004,900000099626005,0.737,
南通地铁,轨道交通2号线,北城大桥,钟秀西路,900000099626005,900000099626006,1.64,
南通地铁,轨道交通2号线,钟秀西路,和平桥,900000099626006,900000081994013,1.353,
南通地铁,轨道交通2号线,和平桥,体育公园,900000081994013,900000099626008,1.296,
南通地铁,轨道交通2号线,体育公园,易家桥,900000099626008,900000099626009,1.087,
南通地铁,轨道交通2号线,易家桥,文峰,900000099626009,900000081994017,0.841,
南通地铁,轨道交通2号线,文峰,五一路,900000081994017,900000099626011,0.843,
南通地铁,轨道交通2号线,五一路,园林路,900000099626011,900000099626012,1.426,
南通地铁,轨道交通2号线,园林路,汽车东站,900000099626012,900000099626013,1.055,
南通地铁,轨道交通2号线,汽车东站,通富北路,900000099626013,900000099626014,0.906,
南通地铁,轨道交通2号线,通富北路,观音山,900000099626014,900000099626015,0.869,
南通地铁,轨道交通2号线,观音山,南通东站,900000099626015,900000099626016,1.57,
南通地铁,轨道交通2号线,南通东站,先锋,900000099626016,900000099626017,2.479,
