系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
宁波轨道交通,轨道交通1号线,霞浦,长江路,330200021803030,330200021803029,1.251,
宁波轨道交通,轨道交通1号线,长江路,中河路,330200021803029,330200021803028,1.406,
宁波轨道交通,轨道交通1号线,中河路,松花江路,330200021803028,330200021803027,2.338,
宁波轨道交通,轨道交通1号线,松花江路,大碶,330200021803027,330200021803026,1.808,
宁波轨道交通,轨道交通1号线,大碶,邬隘,330200021803026,330200021803025,2.387,
宁波轨道交通,轨道交通1号线,邬隘,宝幢,330200021803025,330200021803024,6.126,
宁波轨道交通,轨道交通1号线,宝幢,五乡,330200021803024,330200021803023,4.19,
宁波轨道交通,轨道交通1号线,五乡,邱隘东,330200021803023,330200021803022,2.911,
宁波轨道交通,轨道交通1号线,邱隘东,东环南路,330200021803022,330200021803021,1.27,
宁波轨道交通,轨道交通1号线,东环南路,盛莫路,330200021803021,330200021803020,1.432,
宁波轨道交通,轨道交通1号线,盛莫路,福庆北路,330200021803020,330200021803019,1.194,
宁波轨道交通,轨道交通1号线,福庆北路,海晏北路,330200021803019,330200021803018,0.933,
宁波轨道交通,轨道交通1号线,海晏北路,世纪大道,330200021803018,330200021803017,1.225,
宁波轨道交通,轨道交通1号线,世纪大道,福明路,330200021803017,330200021803016,0.887,
宁波轨道交通,轨道交通1号线,福明路,樱花公园,330200021803016,330200021803015,1.189,
宁波轨道交通,轨道交通1号线,樱花公园,舟孟北路,330200021803015,330200021803014,0.78,
宁波轨道交通,轨道交通1号线,舟孟北路,江厦桥东,330200021803014,330200021803013,0.893,
宁波轨道交通,轨道交通1号线,江厦桥东,东门口,330200021803013,330200021803012,0.96,
宁波轨道交通,轨道交通1号线,东门口,鼓楼,330200021803012,330200021780013,0.679,
宁波轨道交通,轨道交通1号线,鼓楼,西门口,330200021780013,330200021803010,0.878,
宁波轨道交通,轨道交通1号线,西门口,大卿桥,330200021803010,330200021803009,0.8,
宁波轨道交通,轨道交通1号线,大卿桥,泽民,330200021803009,330200021803008,1.059,
宁波轨道交通,轨道交通1号线,泽民,望春桥,330200021803008,330200021803007,1.43,
宁波轨道交通,轨道交通1号线,望春桥,徐家漕长乐,330200021803007,330200021803006,1.115,
宁波轨道交通,轨道交通1号线,徐家漕长乐,芦港,330200021803006,330200021803005,0.973,
宁波轨道交通,轨道交通1号线,芦港,梁祝,330200021803005,330200021803004,1.135,
宁波轨道交通,轨道交通1号线,梁祝,高桥,330200021803004,330200021803003,1.422,
宁波轨道交通,轨道交通1号线,高桥,高桥西,330200021803003,330200021803002,1.452,
