系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
青岛地铁,地铁3号线,青岛北站,永平路,900000030289001,900000030289002,1.438,
青岛地铁,地铁3号线,永平路,振华路,900000030289002,900000030289003,1.197,
青岛地铁,地铁3号线,振华路,君峰路,900000030289003,900000030289004,0.951,
青岛地铁,地铁3号线,君峰路,李村,900000030289004,900000030289005,1.081,
青岛地铁,地铁3号线,李村,万年泉路,900000030289005,900000030289006,1.192,
青岛地铁,地铁3号线,万年泉路,海尔路,900000030289006,900000030289007,1.339,
青岛地铁,地铁3号线,海尔路,地铁大厦,900000030289007,900000030289008,1.053,
青岛地铁,地铁3号线,地铁大厦,长沙路,900000030289008,900000030289009,1.5,
青岛地铁,地铁3号线,长沙路,双山,900000030289009,900000030289010,0.896,
青岛地铁,地铁3号线,双山,清江路,900000030289010,900000030289023,1.226,
青岛地铁,地铁3号线,清江路,错埠岭,900000030289023,900000030289024,1.232,
青岛地铁,地铁3号线,错埠岭,敦化路,900000030289024,900000030289025,0.793,
青岛地铁,地铁3号线,敦化路,宁夏路,900000030289025,900000030289026,0.782,
青岛地铁,地铁3号线,宁夏路,江西路,900000030289026,900000030289027,0.931,
青岛地铁,地铁3号线,江西路,五四广场,900000030289027,900000030289028,1.218,
青岛地铁,地铁3号线,五四广场,延安三路,900000030289028,900000030289029,0.74,
青岛地铁,地铁3号线,延安三路,太平角公园,900000030289029,900000030289030,1.486,
青岛地铁,地铁3号线,太平角公园,中山公园,900000030289030,900000030289031,0.869,
青岛地铁,地铁3号线,中山公园,汇泉广场,900000030289031,900000030289032,0.779,
青岛地铁,地铁3号线,汇泉广场,人民会堂,900000030289032,900000030289033,1.234,
青岛地铁,地铁3号线,人民会堂,青岛站,900000030289033,900000030289034,1.432,
