系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
青岛地铁,地铁4号线,人民会堂,0.0,0.0,120.329579,36.059871,900000030289033,,
青岛地铁,地铁4号线,信号山(青大附院),0.664,0.664,120.327690,36.065641,900000071917002,,
青岛地铁,地铁4号线,观象山(市立医院),0.85,1.514,120.329802,36.073089,900000071917003,,
青岛地铁,地铁4号线,泰山路,1.13,2.644,120.333434,36.082818,900000030291026,,
青岛地铁,地铁4号线,昌乐路,0.99,3.634,120.343407,36.086601,900000071917005,,
青岛地铁,地铁4号线,海泊河公园,1.314,4.948,120.351285,36.096556,900000071917006,,
青岛地铁,地铁4号线,海泊桥(海慈医疗),0.935,5.883,120.361391,36.094558,900000071917007,,
青岛地铁,地铁4号线,西吴家村,0.942,6.825,120.371842,36.095205,900000071917008,,
青岛地铁,地铁4号线,错埠岭,1.219,8.044,120.385383,36.095896,900000030289024,,
青岛地铁,地铁4号线,福辽立交桥,0.919,8.963,120.395601,36.096339,900000071917010,,
青岛地铁,地铁4号线,洪山坡(妇儿医院),0.749,9.712,120.403169,36.099165,900000071917011,,
青岛地铁,地铁4号线,劲松三路,1.358,11.07,120.416370,36.105110,900000071917012,,
青岛地铁,地铁4号线,埠西,0.827,11.897,120.425463,36.106268,900000071917013,,
青岛地铁,地铁4号线,大埠东,1.157,13.054,120.436536,36.111578,900000071917014,,
青岛地铁,地铁4号线,辽阳东路,1.397,14.451,120.450250,36.117494,900000030291006,,
青岛地铁,地铁4号线,董家下庄,1.368,15.819,120.461546,36.125744,900000071917016,,
青岛地铁,地铁4号线,科苑经七路,1.152,16.971,120.466570,36.135277,900000071917017,,
青岛地铁,地铁4号线,张村,1.822,18.793,120.485492,36.141194,900000071655005,,
青岛地铁,地铁4号线,彭家庄,1.571,20.364,120.501989,36.136495,900000071917019,,
青岛地铁,地铁4号线,南宅科,1.85,22.214,120.521436,36.131015,900000071917020,,
青岛地铁,地铁4号线,小崂山,1.364,23.578,120.532597,36.122696,900000071917021,,
青岛地铁,地铁4号线,沙子口,1.144,24.722,120.544262,36.118575,900000071917022,,
青岛地铁,地铁4号线,段家埠,1.211,25.933,120.555723,36.124311,900000071917023,,
青岛地铁,地铁4号线,登瀛,1.949,27.882,120.574385,36.133254,900000071917024,,
青岛地铁,地铁4号线,大河东,1.06,28.942,120.585956,36.131374,900000071917025,,
