系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
上海地铁,地铁7号线,花木路,0.0,0.0,121.562754,31.211212,310100024542002,,
上海地铁,地铁7号线,龙阳路,0.979,0.979,121.557634,31.203575,310100024526014,,
上海地铁,地铁7号线,芳华路,1.366,2.345,121.550115,31.193110,310100024542004,,
上海地铁,地铁7号线,锦绣路,1.138,3.483,121.540041,31.187592,310100024542005,,
上海地铁,地铁7号线,杨高南路,1.475,4.958,121.524539,31.187613,310100024542006,,
上海地铁,地铁7号线,高科西路,1.413,6.371,121.509845,31.185761,310100024540008,,
上海地铁,地铁7号线,云台路,0.978,7.349,121.500439,31.182212,310100024542008,,
上海地铁,地铁7号线,耀华路,0.691,8.04,121.494605,31.178513,310100024542009,,
上海地铁,地铁7号线,长清路,0.791,8.831,121.487775,31.174452,310100024524032,,
上海地铁,地铁7号线,后滩,1.363,10.194,121.473756,31.171918,310100024542011,,
上海地铁,地铁7号线,龙华中路,2.108,12.302,121.457064,31.184379,310100024542012,,
上海地铁,地铁7号线,东安路,0.745,13.047,121.454897,31.190819,310100024542013,,
上海地铁,地铁7号线,肇嘉浜路,1.057,14.104,121.450212,31.199436,310100024542014,,
上海地铁,地铁7号线,常熟路,1.57,15.674,121.449141,31.213524,310100024542015,,
上海地铁,地铁7号线,静安寺,1.107,16.781,121.446533,31.223231,310100024542016,,
上海地铁,地铁7号线,昌平路,1.227,18.008,121.442617,31.233749,310100024542017,,
上海地铁,地铁7号线,长寿路,0.892,18.9,121.438272,31.240860,310100024524009,,
上海地铁,地铁7号线,镇坪路,1.013,19.913,121.429779,31.246369,310100024542019,,
上海地铁,地铁7号线,岚皋路,1.323,21.236,121.421939,31.256198,310100024542020,,
上海地铁,地铁7号线,新村路,0.854,22.09,121.422668,31.263855,310100024542021,,
上海地铁,地铁7号线,大华三路,1.134,23.224,121.422949,31.274047,310100024542022,,
上海地铁,地铁7号线,行知路,1.167,24.391,121.421770,31.284496,310100024542023,,
上海地铁,地铁7号线,大场镇,1.111,25.502,121.416157,31.293259,310100024542024,,
上海地铁,地铁7号线,场中路,1.187,26.689,121.413458,31.303682,310100024542025,,
上海地铁,地铁7号线,上大路,1.334,28.023,121.408686,31.314969,310100024542026,,
上海地铁,地铁7号线,南陈路,1.232,29.255,121.398419,31.321740,310100024542027,,
上海地铁,地铁7号线,上海大学,0.915,30.17,121.388884,31.320586,310100024542028,,
上海地铁,地铁7号线,祁华路,1.472,31.642,121.373529,31.322388,310100024542029,,
上海地铁,地铁7号线,顾村公园,2.47,34.112,121.373009,31.344594,310100024542030,,
上海地铁,地铁7号线,刘行,1.763,35.875,121.362376,31.357586,310100024542031,,
上海地铁,地铁7号线,潘广路,0.96,36.835,121.355845,31.364182,310100024542032,,
上海地铁,地铁7号线,罗南新村,2.745,39.58,121.357470,31.388831,310100024542033,,
上海地铁,地铁7号线,美兰湖,1.62,41.2,121.349894,31.401889,310100024542034,,
