系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
深圳地铁,地铁12号线(南宝线),松岗,朗下,440300024046020,900000094862035,1.276,
深圳地铁,地铁12号线(南宝线),朗下,步涌,900000094862035,900000094862036,1.325,
深圳地铁,地铁12号线(南宝线),步涌,沙井古墟,900000094862036,900000094862037,1.516,
深圳地铁,地铁12号线(南宝线),沙井古墟,沙蚝,900000094862037,900000094862038,0.872,
深圳地铁,地铁12号线(南宝线),沙蚝,蚝乡,900000094862038,900000094862039,1.178,
深圳地铁,地铁12号线(南宝线),蚝乡,海上田园东,900000094862039,900000094862001,1.385,
深圳地铁,地铁12号线(南宝线),海上田园东,海上田园南,900000094862001,900000094862002,1.598,
深圳地铁,地铁12号线(南宝线),海上田园南,国展北,900000094862002,900000075925005,1.703,
深圳地铁,地铁12号线(南宝线),国展北,国展,900000075925005,900000075925004,0.805,
深圳地铁,地铁12号线(南宝线),国展,福海西,900000075925004,900000094862005,1.451,
深圳地铁,地铁12号线(南宝线),福海西,桥头西,900000094862005,900000094862006,1.006,
深圳地铁,地铁12号线(南宝线),桥头西,福永,900000094862006,440300024056009,1.382,
深圳地铁,地铁12号线(南宝线),福永,怀德,440300024056009,900000094862008,1.523,
深圳地铁,地铁12号线(南宝线),怀德,福围,900000094862008,900000094862009,1.117,
深圳地铁,地铁12号线(南宝线),福围,机场东,900000094862009,440300024063002,1.104,
深圳地铁,地铁12号线(南宝线),机场东,兴围,440300024063002,900000094862011,1.3,
深圳地铁,地铁12号线(南宝线),兴围,黄田,900000094862011,900000094862012,1.817,
深圳地铁,地铁12号线(南宝线),黄田,钟屋南,900000094862012,900000094862013,1.901,
深圳地铁,地铁12号线(南宝线),钟屋南,西乡桃源,900000094862013,900000094862014,0.896,
深圳地铁,地铁12号线(南宝线),西乡桃源,平峦山,900000094862014,900000094862015,1.158,
深圳地铁,地铁12号线(南宝线),平峦山,宝田一路,900000094862015,900000094862016,1.314,
深圳地铁,地铁12号线(南宝线),宝田一路,宝安客运站,900000094862016,900000094862017,0.786,
深圳地铁,地铁12号线(南宝线),宝安客运站,流塘,900000094862017,900000094862018,0.849,
深圳地铁,地铁12号线(南宝线),流塘,上川,900000094862018,900000094862019,0.888,
深圳地铁,地铁12号线(南宝线),上川,灵芝,900000094862019,440300024058023,1.354,
深圳地铁,地铁12号线(南宝线),灵芝,新安公园,440300024058023,900000094862021,1.013,
深圳地铁,地铁12号线(南宝线),新安公园,同乐南,900000094862021,900000094862022,1.043,
深圳地铁,地铁12号线(南宝线),同乐南,中山公园,900000094862022,900000094862023,1.136,
深圳地铁,地铁12号线(南宝线),中山公园,南头古城,900000094862023,900000094862024,0.956,
深圳地铁,地铁12号线(南宝线),南头古城,桃园,900000094862024,440300024063013,0.777,
深圳地铁,地铁12号线(南宝线),桃园,南山,440300024063013,440300024056005,0.841,
深圳地铁,地铁12号线(南宝线),南山,南光,440300024056005,900000094862027,0.819,
深圳地铁,地铁12号线(南宝线),南光,南油,900000094862027,440300024054036,0.735,
深圳地铁,地铁12号线(南宝线),南油,四海,440300024054036,900000094862029,1.168,
深圳地铁,地铁12号线(南宝线),四海,花果山,900000094862029,900000094862030,0.731,
深圳地铁,地铁12号线(南宝线),花果山,海上世界,900000094862030,440300024076004,1.105,
深圳地铁,地铁12号线(南宝线),海上世界,太子湾,440300024076004,900000094862032,1.427,
深圳地铁,地铁12号线(南宝线),太子湾,左炮台东,900000094862032,900000094862033,1.407,
