系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
深圳地铁,地铁14号线(东部快线),岗厦北,黄木岗,440300024056027,440300024050020,2.766,
深圳地铁,地铁14号线(东部快线),黄木岗,罗湖北,440300024050020,900000095033015,3.843,
深圳地铁,地铁14号线(东部快线),罗湖北,布吉,900000095033015,440300024058007,2.541,
深圳地铁,地铁14号线(东部快线),布吉,石芽岭,440300024058007,900000095033013,3.38,
深圳地铁,地铁14号线(东部快线),石芽岭,六约北,900000095033013,900000095033018,4.176,
深圳地铁,地铁14号线(东部快线),六约北,四联,900000095033018,900000095033011,1.876,
深圳地铁,地铁14号线(东部快线),四联,坳背,900000095033011,900000095033010,3.096,
深圳地铁,地铁14号线(东部快线),坳背,大运,900000095033010,440300024060007,2.415,
深圳地铁,地铁14号线(东部快线),大运,嶂背,440300024060007,900000095033019,2.312,
深圳地铁,地铁14号线(东部快线),嶂背,南约,900000095033019,900000095033008,2.963,
深圳地铁,地铁14号线(东部快线),南约,宝龙,900000095033008,900000095033007,2.026,
深圳地铁,地铁14号线(东部快线),宝龙,锦龙,900000095033007,900000095033006,3.805,
深圳地铁,地铁14号线(东部快线),锦龙,坪山围,900000095033006,900000095033005,1.603,
深圳地铁,地铁14号线(东部快线),坪山围,坪山广场,900000095033005,900000095033004,1.148,
深圳地铁,地铁14号线(东部快线),坪山广场,坪山中心,900000095033004,900000095033003,0.76,
深圳地铁,地铁14号线(东部快线),坪山中心,坑梓,900000095033003,900000095033002,4.717,
深圳地铁,地铁14号线(东部快线),坑梓,沙田,900000095033002,900000095033001,3.266,
