系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
石家庄地铁,轨道交通2号线,柳辛庄,庄窠·铁道大学,900000069998001,900000069998002,0.784,
石家庄地铁,轨道交通2号线,庄窠·铁道大学,义堂,900000069998002,900000069998003,1.42,
石家庄地铁,轨道交通2号线,义堂,建和桥,900000069998003,900000069998004,1.526,
石家庄地铁,轨道交通2号线,建和桥,长安公园,900000069998004,900000069998005,1.03,
石家庄地铁,轨道交通2号线,长安公园,北国商城,900000069998005,900000044039009,0.764,
石家庄地铁,轨道交通2号线,北国商城,裕华路,900000044039009,900000069998007,0.84,
石家庄地铁,轨道交通2号线,裕华路,槐中路,900000069998007,900000069998008,0.781,
石家庄地铁,轨道交通2号线,槐中路,欧韵公园,900000069998008,900000069998009,1.057,
石家庄地铁,轨道交通2号线,欧韵公园,元村,900000069998009,900000069998010,0.959,
石家庄地铁,轨道交通2号线,元村,石家庄站,900000069998010,900000045645010,1.386,
石家庄地铁,轨道交通2号线,石家庄站,塔坛,900000045645010,900000069998012,1.244,
石家庄地铁,轨道交通2号线,塔坛,仓丰路留村,900000069998012,900000069998013,0.908,
石家庄地铁,轨道交通2号线,仓丰路留村,南位,900000069998013,900000069998014,1.053,
石家庄地铁,轨道交通2号线,南位,嘉华路,900000069998014,900000069998015,0.942,
