系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
苏州轨道交通,轨道交通1号线,木渎,0.0,0.0,120.518128,31.274974,320500022828002,,
苏州轨道交通,轨道交通1号线,金枫路,1.101,1.101,120.529572,31.276492,320500022828003,,
苏州轨道交通,轨道交通1号线,汾湖路,1.178,2.279,120.541830,31.278047,320500022828004,,
苏州轨道交通,轨道交通1号线,玉山路,0.939,3.218,120.549468,31.283409,320500022828005,,
苏州轨道交通,轨道交通1号线,狮子山,1.159,4.377,120.548762,31.293819,320500022828006,,
苏州轨道交通,轨道交通1号线,塔园路,1.017,5.394,120.556692,31.299963,320500022828007,,
苏州轨道交通,轨道交通1号线,滨河路,0.9,6.294,120.566119,31.300779,320500022828008,,
苏州轨道交通,轨道交通1号线,西环路,1.053,7.347,120.577161,31.301539,320500022828009,,
苏州轨道交通,轨道交通1号线,桐泾北路,1.344,8.691,120.591203,31.302984,320500022828010,,
苏州轨道交通,轨道交通1号线,广济南路,0.953,9.644,120.601066,31.304529,320500022816011,,
苏州轨道交通,轨道交通1号线,养育巷,1.236,10.88,120.614052,31.305140,320500022828012,,
苏州轨道交通,轨道交通1号线,乐桥,0.806,11.686,120.622529,31.305505,320500022810011,,
苏州轨道交通,轨道交通1号线,临顿路,0.862,12.548,120.630277,31.309532,320500022828014,,
苏州轨道交通,轨道交通1号线,相门,0.815,13.363,120.638847,31.309803,320500022828015,,
苏州轨道交通,轨道交通1号线,东环路,1.082,14.445,120.649874,31.312254,320500022828016,,
苏州轨道交通,轨道交通1号线,中央公园,1.069,15.514,120.661112,31.312819,320500022828017,,
苏州轨道交通,轨道交通1号线,星海广场,0.968,16.482,120.670812,31.315499,320500022828018,,
苏州轨道交通,轨道交通1号线,东方之门,0.782,17.264,120.678894,31.316815,320500022828019,,
苏州轨道交通,轨道交通1号线,文化博览中心,2.52,19.784,120.704346,31.323217,320500022828020,,
苏州轨道交通,轨道交通1号线,时代广场,0.844,20.628,120.713181,31.322437,320500022828021,,
苏州轨道交通,轨道交通1号线,星湖街,0.694,21.322,120.720431,31.323183,320500022828022,,
苏州轨道交通,轨道交通1号线,南施街,1.215,22.537,120.733132,31.324493,320500022828023,,
苏州轨道交通,轨道交通1号线,星塘街,1.068,23.605,120.744297,31.325644,320500022828024,,
苏州轨道交通,轨道交通1号线,钟南街,1.137,24.742,120.756226,31.326506,320500022828025,,
