系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
台州市域铁路,轨道交通S1线,台州火车站,0.0,0.0,121.373601,28.652884,900000168091001,,
台州市域铁路,轨道交通S1线,学院路,3.293,3.293,121.402760,28.637985,900000168091002,,
台州市域铁路,轨道交通S1线,国博中心,1.899,5.192,121.399617,28.621134,900000168091003,,
台州市域铁路,轨道交通S1线,汇丰路,1.55,6.742,121.389021,28.610756,900000168091004,,
台州市域铁路,轨道交通S1线,锦泰,2.395,9.137,121.368828,28.598520,900000168091005,,
台州市域铁路,轨道交通S1线,恩泽医院,3.344,12.481,121.337156,28.587069,900000168091006,,
台州市域铁路,轨道交通S1线,台州汽车南站,2.306,14.787,121.328653,28.567723,900000168091007,,
台州市域铁路,轨道交通S1线,泽国,8.007,22.794,121.337637,28.496147,900000168091008,,
台州市域铁路,轨道交通S1线,温岭火车站,2.205,24.999,121.326549,28.478881,900000168091009,,
台州市域铁路,轨道交通S1线,汇川王,5.096,30.095,121.333188,28.433424,900000168091010,,
台州市域铁路,轨道交通S1线,温岭第一人民医院,3.387,33.482,121.343457,28.404336,900000168091011,,
台州市域铁路,轨道交通S1线,九龙大道,2.065,35.547,121.360021,28.392819,900000168091012,,
台州市域铁路,轨道交通S1线,万昌路,2.355,37.902,121.376537,28.377406,900000168091013,,
台州市域铁路,轨道交通S1线,南屏,1.782,39.684,121.386186,28.363818,900000168091014,,
台州市域铁路,轨道交通S1线,城南,6.071,45.755,121.414957,28.315443,900000168091015,,
