系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
天津地铁,地铁7号线,鼓楼,福安大街,120100021904009,900000088730008,0.907,
天津地铁,地铁7号线,福安大街,海光寺,900000088730008,120100021504012,0.784,
天津地铁,地铁7号线,海光寺,天津大学六里台,120100021504012,120100021321011,1.073,
天津地铁,地铁7号线,天津大学六里台,南开大学八里台,120100021321011,900000082333023,1.147,
天津地铁,地铁7号线,南开大学八里台,天塔,900000082333023,120100021500018,0.762,
天津地铁,地铁7号线,天塔,肿瘤医院,120100021500018,120100021323025,1.78,
天津地铁,地铁7号线,肿瘤医院,丽江道,120100021323025,900000079480018,2.195,
天津地铁,地铁7号线,丽江道,王兰庄,900000079480018,900000088730015,1.346,
天津地铁,地铁7号线,王兰庄,梅江会展中心南,900000088730015,900000088730016,1.8,
天津地铁,地铁7号线,梅江会展中心南,张道口,900000088730016,900000088730017,1.374,
天津地铁,地铁7号线,张道口,兴华道,900000088730017,900000088730018,1.115,
天津地铁,地铁7号线,兴华道,宏源道,900000088730018,900000088730019,1.425,
天津地铁,地铁7号线,宏源道,芦北路,900000088730019,900000088730020,1.949,
天津地铁,地铁7号线,芦北路,赛达路,900000088730020,900000088730021,0.94,
