系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
武汉地铁,轨道交通7号线,黄陂广场,百泰路,900000044148035,900000044148036,1.913,
武汉地铁,轨道交通7号线,百泰路,青仔村(轨道产业基地),900000044148036,900000044148037,2.499,
武汉地铁,轨道交通7号线,青仔村(轨道产业基地),横店,900000044148037,900000044148028,9.593,
武汉地铁,轨道交通7号线,横店,裕福路,900000044148028,900000044148029,2.334,
武汉地铁,轨道交通7号线,裕福路,天阳大道,900000044148029,900000044148030,2.38,
武汉地铁,轨道交通7号线,天阳大道,腾龙大道,900000044148030,900000044148031,4.301,
武汉地铁,轨道交通7号线,腾龙大道,巨龙大道,900000044148031,420100024404026,1.897,
武汉地铁,轨道交通7号线,巨龙大道,汤云海路,420100024404026,900000044148033,2.017,
武汉地铁,轨道交通7号线,汤云海路,马池,900000044148033,900000044148034,5.058,
武汉地铁,轨道交通7号线,马池,园博园北,900000044148034,420100024335026,1.971,
武汉地铁,轨道交通7号线,园博园北,园博园,420100024335026,900000044148002,2.209,
武汉地铁,轨道交通7号线,园博园,常码头,900000044148002,900000044148003,1.746,
武汉地铁,轨道交通7号线,常码头,武汉商务区,900000044148003,420100024331014,1.397,
武汉地铁,轨道交通7号线,武汉商务区,王家墩东,420100024331014,420100024404017,1.614,
武汉地铁,轨道交通7号线,王家墩东,取水楼,420100024404017,900000044148006,1.151,
武汉地铁,轨道交通7号线,取水楼,香港路,900000044148006,420100024331010,1.285,
武汉地铁,轨道交通7号线,香港路,三阳路,420100024331010,420100034364020,1.744,
武汉地铁,轨道交通7号线,三阳路,徐家棚,420100034364020,900000044147008,3.155,
武汉地铁,轨道交通7号线,徐家棚,湖北大学,900000044147008,900000044148010,1.215,
武汉地铁,轨道交通7号线,湖北大学,新河街,900000044148010,900000044148011,2.067,
武汉地铁,轨道交通7号线,新河街,螃蟹岬,900000044148011,420100024404011,1.027,
武汉地铁,轨道交通7号线,螃蟹岬,小东门,420100024404011,900000044148013,0.93,
武汉地铁,轨道交通7号线,小东门,武昌火车站,900000044148013,420100034395002,1.611,
武汉地铁,轨道交通7号线,武昌火车站,瑞安街,420100034395002,900000044148015,1.582,
武汉地铁,轨道交通7号线,瑞安街,建安街,900000044148015,900000044148016,1.39,
武汉地铁,轨道交通7号线,建安街,湖工大,900000044148016,900000044148017,2.265,
武汉地铁,轨道交通7号线,湖工大,板桥,900000044148017,900000044148020,1.041,
武汉地铁,轨道交通7号线,板桥,野芷湖,900000044148020,900000044147024,1.595,
武汉地铁,轨道交通7号线,野芷湖,新路村,900000044147024,900000044148021,2.152,
武汉地铁,轨道交通7号线,新路村,大花岭,900000044148021,900000044148022,3.258,
武汉地铁,轨道交通7号线,大花岭,江夏客厅,900000044148022,900000044148023,2.582,
武汉地铁,轨道交通7号线,江夏客厅,谭鑫培公园,900000044148023,900000044148024,2.071,
武汉地铁,轨道交通7号线,谭鑫培公园,北华街,900000044148024,900000044148025,1.391,
武汉地铁,轨道交通7号线,北华街,纸坊大街,900000044148025,900000044148026,1.485,
武汉地铁,轨道交通7号线,纸坊大街,青龙山地铁小镇,900000044148026,900000044148027,3.028,
