系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
西安地铁,地铁1号线,咸阳西站,0.0,0.0,108.662753,34.333614,610100020728031,,
西安地铁,地铁1号线,宝泉路,0.972,0.972,108.665542,34.325184,610100020728030,,
西安地铁,地铁1号线,中华西路,1.544,2.516,108.673897,34.313132,610100020728029,,
西安地铁,地铁1号线,安谷,1.967,4.483,108.693446,34.305908,610100020728028,,
西安地铁,地铁1号线,陈杨寨,1.51,5.993,108.707080,34.313499,610100020728027,,
西安地铁,地铁1号线,白马河,1.869,7.862,108.727074,34.316615,610100020728026,,
西安地铁,地铁1号线,陕西中医药大学,1.054,8.916,108.738359,34.318319,610100020728025,,
西安地铁,地铁1号线,沣河森林公园,1.368,10.284,108.753079,34.320229,610100020728024,,
西安地铁,地铁1号线,北槐,0.991,11.275,108.763291,34.317347,610100020728023,,
西安地铁,地铁1号线,上林路,1.395,12.67,108.777618,34.313193,610100020728022,,
西安地铁,地铁1号线,沣东自贸园,1.878,14.548,108.796760,34.307257,610100020728021,,
西安地铁,地铁1号线,后卫寨,1.731,16.279,108.813536,34.300164,610100020728020,,
西安地铁,地铁1号线,三桥,2.057,18.336,108.832212,34.289958,610100020728019,,
西安地铁,地铁1号线,皂河,1.957,20.293,108.852420,34.284382,610100020728018,,
西安地铁,地铁1号线,枣园,1.099,21.392,108.862601,34.279195,610100020728017,,
西安地铁,地铁1号线,汉城路,1.249,22.641,108.873971,34.273042,610100020728016,,
西安地铁,地铁1号线,开远门,1.748,24.389,108.892467,34.269363,610100020728015,,
西安地铁,地铁1号线,劳动路,1.591,25.98,108.909781,34.269540,610100020728014,,
西安地铁,地铁1号线,玉祥门,1.023,27.003,108.920911,34.269614,610100020728013,,
西安地铁,地铁1号线,洒金桥,1.187,28.19,108.933825,34.269705,610100020728012,,
西安地铁,地铁1号线,北大街,1.226,29.416,108.947165,34.269927,610100020728011,,
西安地铁,地铁1号线,五路口,1.446,30.862,108.962896,34.270019,610100020613014,,
西安地铁,地铁1号线,朝阳门,1.027,31.889,108.974075,34.269971,610100020728009,,
西安地铁,地铁1号线,康复路,0.957,32.846,108.984468,34.269485,610100020728008,,
西安地铁,地铁1号线,通化门,1.003,33.849,108.995383,34.269755,610100020611015,,
西安地铁,地铁1号线,万寿路,1.624,35.473,109.013057,34.269596,610100020728006,,
西安地铁,地铁1号线,长乐坡,1.619,37.092,109.030418,34.272090,610100020728005,,
西安地铁,地铁1号线,浐河,1.305,38.397,109.044430,34.273980,610100020728004,,
西安地铁,地铁1号线,半坡,1.088,39.485,109.056131,34.275484,610100020728003,,
西安地铁,地铁1号线,纺织城,1.327,40.812,109.069751,34.279465,610100020621045,,
