系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
北京地铁,地铁18号线,900000179110,马连洼,0.0,0.0,116.274280,40.032713,900000062236008,,
北京地铁,地铁18号线,900000179110,上地软件园,1.645,1.645,116.286834,40.043954,900000179101018,,
北京地铁,地铁18号线,900000179110,东北旺,1.231,2.876,116.295038,40.053069,900000179101017,,
北京地铁,地铁18号线,900000179110,龙泽西,2.506,5.382,116.309473,40.072710,900000179101016,,
北京地铁,地铁18号线,900000179110,回龙观西大街,1.912,7.294,116.330669,40.078414,900000179110002,,
北京地铁,地铁18号线,900000179110,文华路,1.04,8.334,116.342685,40.080137,900000179110003,,
北京地铁,地铁18号线,900000179110,回龙观东大街,1.735,10.069,116.363027,40.081194,110100023114016,,
北京地铁,地铁18号线,900000179110,霍营东,1.154,11.223,116.376549,40.082034,900000179110005,,
北京地铁,地铁18号线,900000179110,天通苑,3.183,14.406,116.412890,40.075248,110100023100022,,
北京地铁,地铁18号线,900000179110,太平庄,1.184,15.59,116.426731,40.074126,900000179110007,,
北京地铁,地铁18号线,900000179110,天通苑东,1.475,17.065,116.442340,40.068348,900000099933011,,
