系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
重庆轨道交通,轨道交通18号线,900000131216,跳磴南,跳磴,900000131216019,900000088463001,1.618,
重庆轨道交通,轨道交通18号线,900000131216,跳磴,金鳌山,900000088463001,900000131216017,2.199,
重庆轨道交通,轨道交通18号线,900000131216,金鳌山,伏牛溪,900000131216017,900000131216016,2.156,
重庆轨道交通,轨道交通18号线,900000131216,伏牛溪,白居寺,900000131216016,500100031250024,1.131,
重庆轨道交通,轨道交通18号线,900000131216,白居寺,茄子溪,500100031250024,900000131216014,1.424,
重庆轨道交通,轨道交通18号线,900000131216,茄子溪,巴滨路湿地公园,900000131216014,900000131216013,1.582,
重庆轨道交通,轨道交通18号线,900000131216,巴滨路湿地公园,花溪工业园,900000131216013,900000131216012,1.809,
重庆轨道交通,轨道交通18号线,900000131216,花溪工业园,重庆理工大学,900000131216012,900000131216011,1.373,
重庆轨道交通,轨道交通18号线,900000131216,重庆理工大学,李家沱大桥,900000131216011,900000131216010,1.132,
重庆轨道交通,轨道交通18号线,900000131216,李家沱大桥,电厂,900000131216010,900000131216009,1.827,
重庆轨道交通,轨道交通18号线,900000131216,电厂,四川美术学院,900000131216009,900000131216008,0.945,
重庆轨道交通,轨道交通18号线,900000131216,四川美术学院,黄桷坪,900000131216008,900000131216007,0.936,
重庆轨道交通,轨道交通18号线,900000131216,黄桷坪,滩子口,900000131216007,900000131216006,1.076,
重庆轨道交通,轨道交通18号线,900000131216,滩子口,杨家坪,900000131216006,500100031250013,1.468,
重庆轨道交通,轨道交通18号线,900000131216,杨家坪,石坪桥,500100031250013,900000131216004,1.274,
重庆轨道交通,轨道交通18号线,900000131216,石坪桥,奥体中心,900000131216004,900000055077036,0.949,
重庆轨道交通,轨道交通18号线,900000131216,奥体中心,歇台子,900000055077036,500100022282016,1.728,
重庆轨道交通,轨道交通18号线,900000131216,歇台子,富华路,500100022282016,900000070621007,1.437,
