系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
佛山地铁,地铁3号线,900000076108,顺德学院站,0.0,0.0,113.318334,22.818597,900000076108001,,
佛山地铁,地铁3号线,900000076108,顺德欢乐海岸,1.158,1.158,113.307041,22.818775,900000076108002,,
佛山地铁,地铁3号线,900000076108,顺德一中,2.09,3.248,113.293508,22.832837,900000076108003,,
佛山地铁,地铁3号线,900000076108,驹荣北路,1.66,4.908,113.277465,22.834905,900000076108004,,
佛山地铁,地铁3号线,900000076108,东乐路,1.326,6.234,113.264525,22.834855,900000076108005,,
佛山地铁,地铁3号线,900000076108,大良钟楼,1.281,7.515,113.253056,22.839431,900000076108006,,
佛山地铁,地铁3号线,900000076108,环市北,1.727,9.242,113.243957,22.852506,900000076108007,,
佛山地铁,地铁3号线,900000076108,顺德人民医院,1.693,10.935,113.242391,22.867663,900000076108008,,
佛山地铁,地铁3号线,900000076108,荔村,1.229,12.164,113.231423,22.872133,900000076108009,,
佛山地铁,地铁3号线,900000076108,伦教,1.988,14.152,113.214186,22.880340,900000076108010,,
佛山地铁,地铁3号线,900000076108,广教,3.225,17.377,113.212542,22.909301,900000076108011,,
佛山地铁,地铁3号线,900000076108,北滘公园,2.308,19.685,113.212092,22.930050,900000076108012,,
佛山地铁,地铁3号线,900000076108,高村,2.454,22.139,113.194272,22.944812,900000076108013,,
佛山地铁,地铁3号线,900000076108,北滘西站,1.84,23.979,113.178142,22.952097,900000076108014,,
佛山地铁,地铁3号线,900000076108,潭洲会展,1.461,25.44,113.164387,22.948608,900000076108015,,
佛山地铁,地铁3号线,900000076108,岳步,2.112,27.552,113.144682,22.943009,900000076108016,,
佛山地铁,地铁3号线,900000076108,大墩,1.967,29.519,113.129428,22.953760,900000076108017,,
佛山地铁,地铁3号线,900000076108,东平,1.28,30.799,113.129190,22.965266,440600021959022,,
佛山地铁,地铁3号线,900000076108,湾华,2.993,33.792,113.131767,22.992076,900000075494010,,
佛山地铁,地铁3号线,900000076108,亚艺公园,1.117,34.909,113.129357,23.001877,900000076108020,,
佛山地铁,地铁3号线,900000076108,季华六路,1.364,36.273,113.136767,23.012073,900000076108021,,
佛山地铁,地铁3号线,900000076108,镇安,0.922,37.195,113.144388,23.016498,900000076108022,,
佛山地铁,地铁3号线,900000076108,桂城,1.714,38.909,113.141432,23.031674,440600021959008,,
佛山地铁,地铁3号线,900000076108,西约,0.985,39.894,113.140266,23.040470,900000076108040,,
佛山地铁,地铁3号线,900000076108,叠滘,1.579,41.473,113.127369,23.048272,900000076108041,,
佛山地铁,地铁3号线,900000076108,中山公园,1.147,42.62,113.116160,23.048125,900000076108042,,
