系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
佛山地铁,地铁7号线,900000115922,燕山,0.0,0.0,113.475020,23.195180,900000115922018,,
佛山地铁,地铁7号线,900000115922,水西,0.938,0.938,113.478780,23.187489,900000115922019,,
佛山地铁,地铁7号线,900000115922,萝岗,1.344,2.282,113.481099,23.175589,900000115922020,,
佛山地铁,地铁7号线,900000115922,科丰路,2.086,4.368,113.466111,23.162857,900000115922021,,
佛山地铁,地铁7号线,900000115922,加庄,1.78,6.148,113.460106,23.147830,900000115922022,,
佛山地铁,地铁7号线,900000115922,姬堂,1.798,7.946,113.455914,23.132126,900000115922023,,
佛山地铁,地铁7号线,900000115922,大沙东,2.893,10.839,113.458515,23.106216,900000115922024,,
佛山地铁,地铁7号线,900000115922,裕丰围,1.295,12.134,113.455795,23.094844,900000115922025,,
佛山地铁,地铁7号线,900000115922,长洲,3.406,15.54,113.429383,23.076198,900000115922027,,
佛山地铁,地铁7号线,900000115922,深井,2.192,17.732,113.409559,23.068711,900000115922028,,
佛山地铁,地铁7号线,900000115922,大学城南,2.963,20.695,113.400478,23.043408,900000115922010,,
佛山地铁,地铁7号线,900000115922,板桥,3.212,23.907,113.388139,23.016845,900000115922011,,
佛山地铁,地铁7号线,900000115922,员岗,2.305,26.212,113.365641,23.015962,900000115922012,,
佛山地铁,地铁7号线,900000115922,南村万博,2.229,28.441,113.347555,23.004789,900000115922013,,
佛山地铁,地铁7号线,900000115922,汉溪长隆,2.24,30.681,113.329955,22.992812,900000115922014,,
佛山地铁,地铁7号线,900000115922,钟村,1.53,32.211,113.316552,22.986726,900000115922015,,
佛山地铁,地铁7号线,900000115922,谢村,2.164,34.375,113.295832,22.990579,900000115922016,,
佛山地铁,地铁7号线,900000115922,石壁,1.871,36.246,113.277964,22.994136,900000115922017,,
佛山地铁,地铁7号线,900000115922,广州南站,1.025,37.271,113.269815,22.988773,900000075494017,,
佛山地铁,地铁7号线,900000115922,大洲,1.396,38.667,113.257295,22.983794,900000115922002,,
佛山地铁,地铁7号线,900000115922,陈村北,1.5,40.167,113.245244,22.976123,900000115922003,,
佛山地铁,地铁7号线,900000115922,陈村,1.246,41.413,113.236869,22.967991,900000115922004,,
佛山地铁,地铁7号线,900000115922,锦龙,1.718,43.131,113.241500,22.953137,900000115922005,,
佛山地铁,地铁7号线,900000115922,南涌,1.574,44.705,113.238172,22.939321,900000115922006,,
佛山地铁,地铁7号线,900000115922,美的,1.326,46.031,113.226867,22.933506,900000115922007,,
佛山地铁,地铁7号线,900000115922,北滘公园,1.561,47.592,113.212092,22.930050,900000076108012,,
佛山地铁,地铁7号线,900000115922,美的大道,1.695,49.287,113.207767,22.944766,900000115922009,,
