系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
福州地铁,地铁6号线,900000076581,潘墩,林浦,900000076581025,900000076581026,0.93,
福州地铁,地铁6号线,900000076581,林浦,樟岚,900000076581026,900000076581027,2.637,
福州地铁,地铁6号线,900000076581,樟岚,梁厝,900000076581027,350100020612042,2.892,
福州地铁,地铁6号线,900000076581,梁厝,下洋,350100020612042,350100020612043,1.254,
福州地铁,地铁6号线,900000076581,下洋,营前,350100020612043,900000076581006,6.155,
福州地铁,地铁6号线,900000076581,营前,航城,900000076581006,900000076581007,1.782,
福州地铁,地铁6号线,900000076581,航城,郑和,900000076581007,900000076581008,1.388,
福州地铁,地铁6号线,900000076581,郑和,十洋,900000076581008,900000076581009,1.214,
福州地铁,地铁6号线,900000076581,十洋,吴航,900000076581009,900000076581010,1.577,
福州地铁,地铁6号线,900000076581,吴航,鹤上,900000076581010,900000076581011,1.525,
福州地铁,地铁6号线,900000076581,鹤上,沙京,900000076581011,900000076581012,1.344,
福州地铁,地铁6号线,900000076581,沙京,莲花,900000076581012,900000076581013,2.768,
福州地铁,地铁6号线,900000076581,莲花,下吴,900000076581013,900000076581014,1.394,
福州地铁,地铁6号线,900000076581,下吴,壶井,900000076581014,900000076581015,1.296,
福州地铁,地铁6号线,900000076581,壶井,万寿,900000076581015,900000076581016,1.127,
