系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
广州地铁,地铁3号线,440100023033,海傍,0.0,0.0,113.475352,22.939553,440100023033018,,
广州地铁,地铁3号线,440100023033,海涌路,1.825,1.825,113.457735,22.942013,440100023033019,,
广州地铁,地铁3号线,440100023033,石碁南,1.879,3.704,113.439881,22.938109,440100023033020,,
广州地铁,地铁3号线,440100023033,傍江,3.101,6.805,113.409637,22.936782,440100023033021,,
广州地铁,地铁3号线,440100023033,番禺广场,2.461,9.266,113.385642,22.935482,440100023033002,,
广州地铁,地铁3号线,440100023033,市桥,2.918,12.184,113.361726,22.949743,440100023033003,,
广州地铁,地铁3号线,440100023033,汉溪长隆,5.789,17.973,113.329955,22.992812,440100023033004,,
广州地铁,地铁3号线,440100023033,大石,2.899,20.872,113.321744,23.017761,440100023033005,,
广州地铁,地铁3号线,440100023033,厦滘,2.253,23.125,113.320837,23.038007,440100023033006,,
广州地铁,地铁3号线,440100023033,沥滘,1.874,24.999,113.319228,23.054798,440100023033007,,
广州地铁,地铁3号线,440100023033,大塘,2.589,27.588,113.321677,23.077974,440100023033008,,
广州地铁,地铁3号线,440100023033,客村,2.031,29.619,113.320331,23.096197,440100023033009,,
广州地铁,地铁3号线,440100023033,广州塔,1.188,30.807,113.323464,23.106483,440100023025002,,
广州地铁,地铁3号线,440100023033,珠江新城,1.451,32.258,113.321202,23.119366,440100023033011,,
广州地铁,地铁3号线,440100023033,体育西路,1.309,33.567,113.321503,23.131138,440100023031015,,
广州地铁,地铁3号线,440100023033,石牌桥,1.109,34.676,113.332124,23.133135,440100023033013,,
广州地铁,地铁3号线,440100023033,岗顶,0.789,35.465,113.339601,23.134880,440100023033014,,
广州地铁,地铁3号线,440100023033,华师,0.84,36.305,113.345330,23.140290,440100023033015,,
广州地铁,地铁3号线,440100023033,五山,1.544,37.849,113.351812,23.152833,440100023033016,,
广州地铁,地铁3号线,440100023033,天河客运站,2.191,40.04,113.343986,23.171175,440100023033017,,
