系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
广州地铁,广佛线,440100023043,沥滘,南洲,440100023033007,440100023043026,2.487,
广州地铁,广佛线,440100023043,南洲,石溪,440100023043026,440100023043025,1.229,
广州地铁,广佛线,440100023043,石溪,燕岗,440100023043025,440100023043020,1.638,
广州地铁,广佛线,440100023043,燕岗,沙园,440100023043020,440100023043019,1.9,
广州地铁,广佛线,440100023043,沙园,沙涌,440100023043019,440100023043018,1.542,
广州地铁,广佛线,440100023043,沙涌,鹤洞,440100023043018,440100023043017,1.359,
广州地铁,广佛线,440100023043,鹤洞,西塱,440100023043017,440100023043015,1.21,
广州地铁,广佛线,440100023043,西塱,菊树,440100023043015,440100023043014,1.91,
广州地铁,广佛线,440100023043,菊树,龙溪,440100023043014,440100023043013,2.094,
广州地铁,广佛线,440100023043,龙溪,金融高新区,440100023043013,440100023043012,3.462,
广州地铁,广佛线,440100023043,金融高新区,千灯湖,440100023043012,440100023043011,1.266,
广州地铁,广佛线,440100023043,千灯湖,礌岗,440100023043011,440100023043016,1.358,
广州地铁,广佛线,440100023043,礌岗,南桂路,440100023043016,440100023043009,0.948,
广州地铁,广佛线,440100023043,南桂路,桂城,440100023043009,440100023043008,1.33,
广州地铁,广佛线,440100023043,桂城,朝安,440100023043008,440100023043007,0.922,
广州地铁,广佛线,440100023043,朝安,普君北路,440100023043007,440100023043006,1.156,
广州地铁,广佛线,440100023043,普君北路,祖庙,440100023043006,440100023043005,1.04,
广州地铁,广佛线,440100023043,祖庙,同济路,440100023043005,440100023043004,0.947,
广州地铁,广佛线,440100023043,同济路,季华园,440100023043004,440100023043003,1.347,
广州地铁,广佛线,440100023043,季华园,魁奇路,440100023043003,440100023043002,1.461,
广州地铁,广佛线,440100023043,魁奇路,澜石,440100023043002,440100023043024,1.12,
广州地铁,广佛线,440100023043,澜石,世纪莲,440100023043024,440100023043023,2.242,
广州地铁,广佛线,440100023043,世纪莲,东平,440100023043023,440100023043022,1.461,
广州地铁,广佛线,440100023043,东平,新城东,440100023043022,440100023043021,1.329,
