系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
广州地铁,广佛线,440100023043,沥滘,0.0,0.0,113.319228,23.054798,440100023033007,,
广州地铁,广佛线,440100023043,南洲,2.487,2.487,113.297449,23.064732,440100023043026,,
广州地铁,广佛线,440100023043,石溪,1.229,3.716,113.285951,23.067937,440100023043025,,
广州地铁,广佛线,440100023043,燕岗,1.638,5.354,113.271988,23.075142,440100023043020,,
广州地铁,广佛线,440100023043,沙园,1.9,7.254,113.260584,23.088625,440100023043019,,
广州地铁,广佛线,440100023043,沙涌,1.542,8.796,113.246755,23.083097,440100023043018,,
广州地铁,广佛线,440100023043,鹤洞,1.359,10.155,113.240153,23.072495,440100023043017,,
广州地铁,广佛线,440100023043,西塱,1.21,11.365,113.231514,23.065063,440100023043015,,
广州地铁,广佛线,440100023043,菊树,1.91,13.275,113.212863,23.065868,440100023043014,,
广州地铁,广佛线,440100023043,龙溪,2.094,15.369,113.192391,23.066029,440100023043013,,
广州地铁,广佛线,440100023043,金融高新区,3.462,18.831,113.158548,23.065814,440100023043012,,
广州地铁,广佛线,440100023043,千灯湖,1.266,20.097,113.155356,23.054818,440100023043011,,
广州地铁,广佛线,440100023043,礌岗,1.358,21.455,113.155426,23.042607,440100023043016,,
广州地铁,广佛线,440100023043,南桂路,0.948,22.403,113.154139,23.034167,440100023043009,,
广州地铁,广佛线,440100023043,桂城,1.33,23.733,113.141432,23.031674,440100023043008,,
广州地铁,广佛线,440100023043,朝安,0.922,24.655,113.133537,23.027676,440100023043007,,
广州地铁,广佛线,440100023043,普君北路,1.156,25.811,113.122240,23.027678,440100023043006,,
广州地铁,广佛线,440100023043,祖庙,1.04,26.851,113.112099,23.027073,440100023043005,,
广州地铁,广佛线,440100023043,同济路,0.947,27.798,113.108503,23.019222,440100023043004,,
广州地铁,广佛线,440100023043,季华园,1.347,29.145,113.108547,23.007104,440100023043003,,
广州地铁,广佛线,440100023043,魁奇路,1.461,30.606,113.108612,22.993964,440100023043002,,
广州地铁,广佛线,440100023043,澜石,1.12,31.726,113.107107,22.983985,440100023043024,,
广州地铁,广佛线,440100023043,世纪莲,2.242,33.968,113.114917,22.965147,440100023043023,,
广州地铁,广佛线,440100023043,东平,1.461,35.429,113.129190,22.965266,440100023043022,,
广州地铁,广佛线,440100023043,新城东,1.329,36.758,113.140008,22.958653,440100023043021,,
