系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
杭州地铁,地铁6号线,900000062493,枸桔弄,0.0,0.0,120.206547,30.301238,900000062493026,,
杭州地铁,地铁6号线,900000062493,火车东站(东广场),1.203,1.203,120.215915,30.294056,900000062493025,,
杭州地铁,地铁6号线,900000062493,元宝塘,1.204,2.407,120.220572,30.284007,900000062493024,,
杭州地铁,地铁6号线,900000062493,昙花庵路,0.874,3.281,120.222845,30.276397,900000062493023,,
杭州地铁,地铁6号线,900000062493,三堡,1.172,4.453,120.227958,30.266822,900000062493022,,
杭州地铁,地铁6号线,900000062493,亚运村,2.125,6.578,120.247398,30.257688,900000062493021,,
杭州地铁,地铁6号线,900000062493,丰北,0.892,7.47,120.250235,30.250049,900000062493020,,
杭州地铁,地铁6号线,900000062493,钱江世纪城,1.209,8.679,120.244477,30.240379,330100020003013,,
杭州地铁,地铁6号线,900000062493,博览中心,1.168,9.847,120.236506,30.232448,900000062493017,,
杭州地铁,地铁6号线,900000062493,奥体中心,0.991,10.838,120.232974,30.224071,900000062493016,,
杭州地铁,地铁6号线,900000062493,星民,1.491,12.329,120.223860,30.213218,900000062493015,,
杭州地铁,地铁6号线,900000062493,江陵路,0.84,13.169,120.216603,30.208999,330100023133022,,
杭州地铁,地铁6号线,900000062493,江汉路,1.313,14.482,120.204943,30.202836,900000062493013,,
杭州地铁,地铁6号线,900000062493,长河,1.226,15.708,120.193941,30.197248,900000062493012,,
杭州地铁,地铁6号线,900000062493,建业路,1.643,17.351,120.178743,30.190474,900000062493011,,
杭州地铁,地铁6号线,900000062493,诚业路,0.937,18.288,120.170027,30.186693,900000062493010,,
杭州地铁,地铁6号线,900000062493,伟业路,1.159,19.447,120.159056,30.182364,900000062493009,,
杭州地铁,地铁6号线,900000062493,中医药大学,1.416,20.863,120.146432,30.175802,900000029624024,,
杭州地铁,地铁6号线,900000062493,西浦路,1.157,22.02,120.137629,30.168709,900000062493007,,
杭州地铁,地铁6号线,900000062493,之江文化中心,3.115,25.135,120.107708,30.157966,900000062493006,,
杭州地铁,地铁6号线,900000062493,枫桦西路,0.937,26.072,120.098501,30.155201,900000062493005,,
杭州地铁,地铁6号线,900000062493,美院象山,1.711,27.783,120.081328,30.151172,900000062493004,,
杭州地铁,地铁6号线,900000062493,霞鸣街,1.181,28.964,120.073174,30.143230,900000062493003,,
杭州地铁,地铁6号线,900000062493,科海路,2.022,30.986,120.087020,30.129544,900000062493002,,
杭州地铁,地铁6号线,900000062493,双浦,1.541,32.527,120.083780,30.115971,900000062493001,,
