系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
杭州地铁,轨道交通1号线(杭绍线),900000150789,姑娘桥,衙前,900000065767067,900000150789030,3.188,
杭州地铁,轨道交通1号线(杭绍线),900000150789,衙前,杨汛桥,900000150789030,900000150789031,2.151,
杭州地铁,轨道交通1号线(杭绍线),900000150789,杨汛桥,前梅,900000150789031,900000150789032,3.577,
杭州地铁,轨道交通1号线(杭绍线),900000150789,前梅,钱清,900000150789032,900000150789033,1.667,
杭州地铁,轨道交通1号线(杭绍线),900000150789,钱清,西沙路,900000150789033,900000150789034,1.535,
杭州地铁,轨道交通1号线(杭绍线),900000150789,西沙路,临杭大道,900000150789034,900000150789035,1.586,
杭州地铁,轨道交通1号线(杭绍线),900000150789,临杭大道,鉴水路,900000150789035,900000150789037,2.05,
杭州地铁,轨道交通1号线(杭绍线),900000150789,鉴水路,越州大道,900000150789037,900000150789038,2.58,
杭州地铁,轨道交通1号线(杭绍线),900000150789,越州大道,中国轻纺城,900000150789038,900000150789039,0.886,
杭州地铁,轨道交通1号线(杭绍线),900000150789,中国轻纺城,明珠广场,900000150789039,900000150789040,0.846,
杭州地铁,轨道交通1号线(杭绍线),900000150789,明珠广场,瓜渚湖,900000150789040,900000150789041,1.361,
杭州地铁,轨道交通1号线(杭绍线),900000150789,瓜渚湖,镜水路,900000150789041,900000150789042,1.381,
杭州地铁,轨道交通1号线(杭绍线),900000150789,镜水路,黄酒小镇,900000150789042,900000150789043,2.107,
杭州地铁,轨道交通1号线(杭绍线),900000150789,黄酒小镇,张墅,900000150789043,900000150789044,1.514,
杭州地铁,轨道交通1号线(杭绍线),900000150789,张墅,奥体中心,900000150789044,900000150789045,1.526,
杭州地铁,轨道交通1号线(杭绍线),900000150789,奥体中心,梅山广场,900000150789045,900000150789046,1.035,
杭州地铁,轨道交通1号线(杭绍线),900000150789,梅山广场,凤林,900000150789046,900000150789047,1.489,
杭州地铁,轨道交通1号线(杭绍线),900000150789,凤林,大滩,900000150789047,900000150789048,1.517,
杭州地铁,轨道交通1号线(杭绍线),900000150789,大滩,火车站,900000150789048,900000150789049,1.15,
杭州地铁,轨道交通1号线(杭绍线),900000150789,火车站,城市广场,900000150789049,900000150789050,1.007,
杭州地铁,轨道交通1号线(杭绍线),900000150789,城市广场,鲁迅故里,900000150789050,900000150789051,1.391,
杭州地铁,轨道交通1号线(杭绍线),900000150789,鲁迅故里,城南大道,900000150789051,900000150789052,1.751,
杭州地铁,轨道交通1号线(杭绍线),900000150789,城南大道,凤凰山,900000150789052,900000150789053,1.504,
杭州地铁,轨道交通1号线(杭绍线),900000150789,凤凰山,劳家葑,900000150789053,900000150789054,1.186,
杭州地铁,轨道交通1号线(杭绍线),900000150789,劳家葑,南池,900000150789054,900000150789055,1.403,
杭州地铁,轨道交通1号线(杭绍线),900000150789,南池,栖湖,900000150789055,900000150789056,1.17,
杭州地铁,轨道交通1号线(杭绍线),900000150789,栖湖,芳泉,900000150789056,900000150789057,1.249,
