系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
哈尔滨地铁,地铁2号线,900000066208,江北大学城,哈尔滨北站,900000066208001,900000066208002,2.395,
哈尔滨地铁,地铁2号线,900000066208,哈尔滨北站,大耿家,900000066208002,900000066208003,1.91,
哈尔滨地铁,地铁2号线,900000066208,大耿家,龙川路,900000066208003,900000066208004,1.458,
哈尔滨地铁,地铁2号线,900000066208,龙川路,世茂大道,900000066208004,900000066208005,1.87,
哈尔滨地铁,地铁2号线,900000066208,世茂大道,冰雪大世界,900000066208005,900000066208006,3.287,
哈尔滨地铁,地铁2号线,900000066208,冰雪大世界,太阳岛,900000066208006,900000066208007,1.61,
哈尔滨地铁,地铁2号线,900000066208,太阳岛,人民广场,900000066208007,900000066208008,1.758,
哈尔滨地铁,地铁2号线,900000066208,人民广场,中央大街,900000066208008,900000066208009,1.083,
哈尔滨地铁,地铁2号线,900000066208,中央大街,尚志大街,900000066208009,900000066208010,0.828,
哈尔滨地铁,地铁2号线,900000066208,尚志大街,哈尔滨站,900000066208010,900000066208011,0.777,
哈尔滨地铁,地铁2号线,900000066208,哈尔滨站,博物馆,900000066208011,230100020502009,0.82,
哈尔滨地铁,地铁2号线,900000066208,博物馆,工人文化宫,230100020502009,900000066208013,1.219,
哈尔滨地铁,地铁2号线,900000066208,工人文化宫,省政府,900000066208013,900000066208014,1.119,
哈尔滨地铁,地铁2号线,900000066208,省政府,省医院,900000066208014,900000066208015,1.249,
哈尔滨地铁,地铁2号线,900000066208,省医院,珠江路,900000066208015,900000066208016,1.2,
哈尔滨地铁,地铁2号线,900000066208,珠江路,南直路,900000066208016,900000066208017,1.045,
哈尔滨地铁,地铁2号线,900000066208,南直路,东北农业大学,900000066208017,900000066208018,1.519,
哈尔滨地铁,地铁2号线,900000066208,东北农业大学,气象台,900000066208018,900000066208019,1.469,
