系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
合肥轨道交通,轨道交通6号线,900000153893,青龙岗,合肥七中,900000153893022,900000153893021,1.129,
合肥轨道交通,轨道交通6号线,900000153893,合肥七中,量子科学中心,900000153893021,900000153893020,1.385,
合肥轨道交通,轨道交通6号线,900000153893,量子科学中心,科大先研院,900000153893020,900000153893019,1.783,
合肥轨道交通,轨道交通6号线,900000153893,科大先研院,北雁湖,900000153893019,900000153891009,2.408,
合肥轨道交通,轨道交通6号线,900000153893,北雁湖,开福寺,900000153891009,900000153893017,2.929,
合肥轨道交通,轨道交通6号线,900000153893,开福寺,梦城,900000153893017,900000153893016,1.576,
合肥轨道交通,轨道交通6号线,900000153893,梦城,松荫桥,900000153893016,900000153893015,1.849,
合肥轨道交通,轨道交通6号线,900000153893,松荫桥,洪岗,900000153893015,900000055586011,0.943,
合肥轨道交通,轨道交通6号线,900000153893,洪岗,陆军兵种大学,900000055586011,900000153893013,1.26,
合肥轨道交通,轨道交通6号线,900000153893,陆军兵种大学,南七里,900000153893013,900000153893012,1.259,
合肥轨道交通,轨道交通6号线,900000153893,南七里,市第三医院,900000153893012,900000072420036,1.097,
合肥轨道交通,轨道交通6号线,900000153893,市第三医院,卫岗,900000072420036,900000153893010,1.571,
合肥轨道交通,轨道交通6号线,900000153893,卫岗,朱岗,900000153893010,900000039731017,1.488,
合肥轨道交通,轨道交通6号线,900000153893,朱岗,尧渡河路,900000039731017,900000153891025,2.324,
合肥轨道交通,轨道交通6号线,900000153893,尧渡河路,唐大楼,900000153891025,900000153893007,1.032,
合肥轨道交通,轨道交通6号线,900000153893,唐大楼,市儿童医院,900000153893007,900000153893006,2.051,
合肥轨道交通,轨道交通6号线,900000153893,市儿童医院,钢红,900000153893006,900000153893004,2.346,
合肥轨道交通,轨道交通6号线,900000153893,钢红,大兴集,900000153893004,900000153893003,1.032,
合肥轨道交通,轨道交通6号线,900000153893,大兴集,伏龙,900000153893003,900000153893002,1.479,
合肥轨道交通,轨道交通6号线,900000153893,伏龙,龙塘,900000153893002,900000153893001,1.382,
