系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
港铁,东铁线,810000020809,金钟,会展,810000020809014,810000020809015,1.057,
港铁,东铁线,810000020809,会展,红磡,810000020809015,810000020809002,2.447,
港铁,东铁线,810000020809,红磡,旺角东,810000020809002,810000020809003,2.342,
港铁,东铁线,810000020809,旺角东,九龙塘,810000020809003,810000020809004,1.68,
港铁,东铁线,810000020809,九龙塘,大围,810000020809004,810000020809005,4.004,
港铁,东铁线,810000020809,大围,沙田,810000020809005,810000020809006,1.416,
港铁,东铁线,810000020809,沙田,火炭,810000020809006,810000020809007,1.786,
港铁,东铁线,810000020809,火炭,大学,810000020809007,810000020809008,2.402,
港铁,东铁线,810000020809,大学,大埔墟,810000020809008,810000020809009,5.34,
港铁,东铁线,810000020809,大埔墟,太和,810000020809009,810000020809010,1.164,
港铁,东铁线,810000020809,太和,粉岭,810000020809010,810000020809011,5.137,
港铁,东铁线,810000020809,粉岭,上水,810000020809011,810000020809012,1.529,
港铁,东铁线,810000020809,上水,罗湖,810000020809012,810000020809013,3.374,
