系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
港铁,荃湾线,810000020823,荃湾,大窝口,810000020823017,810000020823016,0.81,
港铁,荃湾线,810000020823,大窝口,葵兴,810000020823016,810000020823015,1.069,
港铁,荃湾线,810000020823,葵兴,葵芳,810000020823015,810000020823014,0.771,
港铁,荃湾线,810000020823,葵芳,荔景,810000020823014,810000020807005,0.95,
港铁,荃湾线,810000020823,荔景,美孚,810000020807005,810000020819006,1.527,
港铁,荃湾线,810000020823,美孚,荔枝角,810000020819006,810000020823011,1.226,
港铁,荃湾线,810000020823,荔枝角,长沙湾,810000020823011,810000020823010,0.861,
港铁,荃湾线,810000020823,长沙湾,深水埗,810000020823010,810000020823009,0.803,
港铁,荃湾线,810000020823,深水埗,太子,810000020823009,810000020821004,0.912,
港铁,荃湾线,810000020823,太子,旺角,810000020821004,810000020821003,0.577,
港铁,荃湾线,810000020823,旺角,油麻地,810000020821003,810000020821002,0.745,
港铁,荃湾线,810000020823,油麻地,佐敦,810000020821002,810000020823005,0.911,
港铁,荃湾线,810000020823,佐敦,尖沙咀,810000020823005,810000020823004,0.83,
港铁,荃湾线,810000020823,尖沙咀,金钟,810000020823004,810000020809014,2.141,
港铁,荃湾线,810000020823,金钟,中环,810000020809014,810000020817014,0.719,
