系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
济南地铁,轨道交通3号线,900000066599,机场南,临空,900000066599022,900000066599018,2.458,
济南地铁,轨道交通3号线,900000066599,临空,临港北路,900000066599018,900000066599019,3.458,
济南地铁,轨道交通3号线,900000066599,临港北路,川流,900000066599019,900000066599020,2.821,
济南地铁,轨道交通3号线,900000066599,川流,曲家庄,900000066599020,900000066599021,1.575,
济南地铁,轨道交通3号线,900000066599,曲家庄,滩头,900000066599021,900000066599005,1.175,
济南地铁,轨道交通3号线,900000066599,滩头,济南东站,900000066599005,900000066599006,2.191,
济南地铁,轨道交通3号线,900000066599,济南东站,裴家营,900000066599006,900000066599007,1.434,
济南地铁,轨道交通3号线,900000066599,裴家营,王舍人,900000066599007,900000066599008,2.477,
济南地铁,轨道交通3号线,900000066599,王舍人,张马屯,900000066599008,900000066599009,2.078,
济南地铁,轨道交通3号线,900000066599,张马屯,八涧堡,900000066599009,900000066599010,1.855,
济南地铁,轨道交通3号线,900000066599,八涧堡,花园东路,900000066599010,900000066599011,1.433,
济南地铁,轨道交通3号线,900000066599,花园东路,丁家庄,900000066599011,900000066599012,1.662,
济南地铁,轨道交通3号线,900000066599,丁家庄,安成街,900000066599012,900000066599013,1.022,
济南地铁,轨道交通3号线,900000066599,安成街,奥体中心,900000066599013,900000066599014,1.017,
济南地铁,轨道交通3号线,900000066599,奥体中心,龙奥大厦,900000066599014,900000066599015,0.998,
济南地铁,轨道交通3号线,900000066599,龙奥大厦,孟家庄,900000066599015,900000066599016,2.0,
济南地铁,轨道交通3号线,900000066599,孟家庄,龙洞,900000066599016,900000066599017,1.691,
