系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
昆明地铁,地铁2号线,530100021490,环城南路(昆明南火车站/大学城南),塘子巷,530100021490015,530100021490014,0.855,
昆明地铁,地铁2号线,530100021490,塘子巷,东风广场,530100021490014,530100021490013,0.632,
昆明地铁,地铁2号线,530100021490,东风广场,交三桥,530100021490013,530100021490012,0.483,
昆明地铁,地铁2号线,530100021490,交三桥,穿心鼓楼,530100021490012,530100021490011,0.759,
昆明地铁,地铁2号线,530100021490,穿心鼓楼,火车北站,530100021490011,530100021490010,0.767,
昆明地铁,地铁2号线,530100021490,火车北站,白云路,530100021490010,530100021490009,1.154,
昆明地铁,地铁2号线,530100021490,白云路,金星,530100021490009,530100021490008,1.127,
昆明地铁,地铁2号线,530100021490,金星,北辰,530100021490008,530100021490007,0.788,
昆明地铁,地铁2号线,530100021490,北辰,霖雨桥,530100021490007,530100021490006,1.521,
昆明地铁,地铁2号线,530100021490,霖雨桥,羊肠村,530100021490006,530100021490005,0.915,
昆明地铁,地铁2号线,530100021490,羊肠村,司家营,530100021490005,530100021490004,1.023,
昆明地铁,地铁2号线,530100021490,司家营,龙头街,530100021490004,530100021490003,0.852,
昆明地铁,地铁2号线,530100021490,龙头街,北部汽车站,530100021490003,530100021490002,1.094,
