系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
昆明地铁,地铁2号线,530100021490,环城南路(昆明南火车站/大学城南),0.0,0.0,102.720883,25.024746,530100021490015,,
昆明地铁,地铁2号线,530100021490,塘子巷,0.855,0.855,102.720080,25.032405,530100021490014,,
昆明地铁,地铁2号线,530100021490,东风广场,0.632,1.487,102.719665,25.038080,530100021490013,,
昆明地铁,地铁2号线,530100021490,交三桥,0.483,1.97,102.719484,25.042425,530100021490012,,
昆明地铁,地铁2号线,530100021490,穿心鼓楼,0.759,2.729,102.719543,25.049251,530100021490011,,
昆明地铁,地铁2号线,530100021490,火车北站,0.767,3.496,102.720305,25.056113,530100021490010,,
昆明地铁,地铁2号线,530100021490,白云路,1.154,4.65,102.723949,25.065956,530100021490009,,
昆明地铁,地铁2号线,530100021490,金星,1.127,5.777,102.727567,25.075547,530100021490008,,
昆明地铁,地铁2号线,530100021490,北辰,0.788,6.565,102.732496,25.081046,530100021490007,,
昆明地铁,地铁2号线,530100021490,霖雨桥,1.521,8.086,102.739183,25.093315,530100021490006,,
昆明地铁,地铁2号线,530100021490,羊肠村,0.915,9.001,102.742021,25.101132,530100021490005,,
昆明地铁,地铁2号线,530100021490,司家营,1.023,10.024,102.745690,25.109715,530100021490004,,
昆明地铁,地铁2号线,530100021490,龙头街,0.852,10.876,102.753801,25.111895,530100021490003,,
昆明地铁,地铁2号线,530100021490,北部汽车站,1.094,11.97,102.763350,25.107208,530100021490002,,
