系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
洛阳轨道交通,地铁1号线,900000076062,红山,谷水,900000076062020,900000076062001,2.476,
洛阳轨道交通,地铁1号线,900000076062,谷水,秦岭路,900000076062001,900000076062002,1.922,
洛阳轨道交通,地铁1号线,900000076062,秦岭路,武汉路,900000076062002,900000076062003,1.429,
洛阳轨道交通,地铁1号线,900000076062,武汉路,长安路,900000076062003,900000076062004,1.136,
洛阳轨道交通,地铁1号线,900000076062,长安路,上海市场,900000076062004,900000076062005,0.854,
洛阳轨道交通,地铁1号线,900000076062,上海市场,牡丹广场,900000076062005,900000076062006,1.198,
洛阳轨道交通,地铁1号线,900000076062,牡丹广场,七里河,900000076062006,900000076062007,1.268,
洛阳轨道交通,地铁1号线,900000076062,七里河,王城公园,900000076062007,900000076062008,1.602,
洛阳轨道交通,地铁1号线,900000076062,王城公园,解放路,900000076062008,900000076062009,0.837,
洛阳轨道交通,地铁1号线,900000076062,解放路,周王城广场,900000076062009,900000076062010,0.889,
洛阳轨道交通,地铁1号线,900000076062,周王城广场,应天门,900000076062010,900000076062011,1.426,
洛阳轨道交通,地铁1号线,900000076062,应天门,丽景门,900000076062011,900000076062012,1.043,
洛阳轨道交通,地铁1号线,900000076062,丽景门,洛邑古城,900000076062012,900000076062013,1.287,
洛阳轨道交通,地铁1号线,900000076062,洛邑古城,夹马营,900000076062013,900000076062014,0.939,
洛阳轨道交通,地铁1号线,900000076062,夹马营,启明南路·河南省洛阳正骨医院,900000076062014,900000076062015,1.158,
洛阳轨道交通,地铁1号线,900000076062,启明南路·河南省洛阳正骨医院,塔湾,900000076062015,900000076062016,1.199,
洛阳轨道交通,地铁1号线,900000076062,塔湾,史家湾,900000076062016,900000076062017,1.382,
洛阳轨道交通,地铁1号线,900000076062,史家湾,杨湾,900000076062017,900000076062018,1.906,
