系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
宁波轨道交通,轨道交通1号线,330200021803,霞浦,0.0,0.0,121.856750,29.890445,330200021803030,,
宁波轨道交通,轨道交通1号线,330200021803,长江路,1.251,1.251,121.843773,29.890703,330200021803029,,
宁波轨道交通,轨道交通1号线,330200021803,中河路,1.406,2.657,121.829607,29.893725,330200021803028,,
宁波轨道交通,轨道交通1号线,330200021803,松花江路,2.338,4.995,121.808583,29.904204,330200021803027,,
宁波轨道交通,轨道交通1号线,330200021803,大碶,1.808,6.803,121.794673,29.893302,330200021803026,,
宁波轨道交通,轨道交通1号线,330200021803,邬隘,2.387,9.19,121.782269,29.874725,330200021803025,,
宁波轨道交通,轨道交通1号线,330200021803,宝幢,6.126,15.316,121.733579,29.839346,330200021803024,,
宁波轨道交通,轨道交通1号线,330200021803,五乡,4.19,19.506,121.690153,29.838494,330200021803023,,
宁波轨道交通,轨道交通1号线,330200021803,邱隘东,2.911,22.417,121.661441,29.846562,330200021803022,,
宁波轨道交通,轨道交通1号线,330200021803,东环南路,1.27,23.687,121.650587,29.853024,330200021803021,,
宁波轨道交通,轨道交通1号线,330200021803,盛莫路,1.432,25.119,121.636273,29.856445,330200021803020,,
宁波轨道交通,轨道交通1号线,330200021803,福庆北路,1.194,26.313,121.624204,29.858826,330200021803019,,
宁波轨道交通,轨道交通1号线,330200021803,海晏北路,0.933,27.246,121.614646,29.860128,330200021803018,,
宁波轨道交通,轨道交通1号线,330200021803,世纪大道,1.225,28.471,121.602005,29.859027,330200021803017,,
宁波轨道交通,轨道交通1号线,330200021803,福明路,0.887,29.358,121.593092,29.860980,330200021803016,,
宁波轨道交通,轨道交通1号线,330200021803,樱花公园,1.189,30.547,121.581421,29.864427,330200021803015,,
宁波轨道交通,轨道交通1号线,330200021803,舟孟北路,0.78,31.327,121.574006,29.867239,330200021803014,,
宁波轨道交通,轨道交通1号线,330200021803,江厦桥东,0.893,32.22,121.565095,29.869410,330200021803013,,
宁波轨道交通,轨道交通1号线,330200021803,东门口,0.96,33.18,121.555432,29.871481,330200021803012,,
宁波轨道交通,轨道交通1号线,330200021803,鼓楼,0.679,33.859,121.548970,29.873914,330200021780013,,
宁波轨道交通,轨道交通1号线,330200021803,西门口,0.878,34.737,121.539928,29.874847,330200021803010,,
宁波轨道交通,轨道交通1号线,330200021803,大卿桥,0.8,35.537,121.531880,29.876588,330200021803009,,
宁波轨道交通,轨道交通1号线,330200021803,泽民,1.059,36.596,121.521148,29.878630,330200021803008,,
宁波轨道交通,轨道交通1号线,330200021803,望春桥,1.43,38.026,121.507489,29.883639,330200021803007,,
宁波轨道交通,轨道交通1号线,330200021803,徐家漕长乐,1.115,39.141,121.496877,29.887631,330200021803006,,
宁波轨道交通,轨道交通1号线,330200021803,芦港,0.973,40.114,121.487283,29.890340,330200021803005,,
宁波轨道交通,轨道交通1号线,330200021803,梁祝,1.135,41.249,121.476733,29.894880,330200021803004,,
宁波轨道交通,轨道交通1号线,330200021803,高桥,1.422,42.671,121.464107,29.901488,330200021803003,,
宁波轨道交通,轨道交通1号线,330200021803,高桥西,1.452,44.123,121.453556,29.910802,330200021803002,,
