系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
上海地铁,地铁10号线,310100027703,基隆路,0.0,0.0,121.590411,31.351311,310100027703034,,
上海地铁,地铁10号线,310100027703,港城路,1.477,1.477,121.575017,31.353223,310100024540029,,
上海地铁,地铁10号线,310100027703,高桥,1.146,2.623,121.562971,31.352622,310100027703032,,
上海地铁,地铁10号线,310100027703,高桥西,1.306,3.929,121.549280,31.351489,310100027703031,,
上海地铁,地铁10号线,310100027703,双江路,0.965,4.894,121.539425,31.353601,310100027703030,,
上海地铁,地铁10号线,310100027703,国帆路,2.943,7.837,121.513168,31.339548,310100027703029,,
上海地铁,地铁10号线,310100027703,新江湾城,1.363,9.2,121.506951,31.328496,310100027703028,,
上海地铁,地铁10号线,310100027703,殷高东路,0.748,9.948,121.506797,31.321768,310100027703027,,
上海地铁,地铁10号线,310100027703,三门路,0.962,10.91,121.508340,31.313214,310100027703026,,
上海地铁,地铁10号线,310100027703,江湾体育场,1.099,12.009,121.513314,31.304293,310100027703025,,
上海地铁,地铁10号线,310100027703,五角场,0.706,12.715,121.514632,31.298043,310100027703024,,
上海地铁,地铁10号线,310100027703,国权路,1.069,13.784,121.510024,31.289276,310100027703023,,
上海地铁,地铁10号线,310100027703,同济大学,0.872,14.656,121.506357,31.282086,310100027703022,,
上海地铁,地铁10号线,310100027703,四平路,0.925,15.581,121.501488,31.274880,310100025709010,,
上海地铁,地铁10号线,310100027703,邮电新村,0.994,16.575,121.494247,31.268431,310100027703020,,
上海地铁,地铁10号线,310100027703,海伦路,1.144,17.719,121.488697,31.259303,310100027703019,,
上海地铁,地铁10号线,310100027703,四川北路,0.914,18.633,121.484208,31.252035,310100027703018,,
上海地铁,地铁10号线,310100027703,天潼路,0.931,19.564,121.482321,31.243815,310100025711016,,
上海地铁,地铁10号线,310100027703,南京东路,0.672,20.236,121.484628,31.238101,310100025693011,,
上海地铁,地铁10号线,310100027703,豫园,1.154,21.39,121.487426,31.228005,310100027599018,,
上海地铁,地铁10号线,310100027703,老西门,1.058,22.448,121.483793,31.219014,310100025709018,,
上海地铁,地铁10号线,310100027703,一大会址·新天地,0.87,23.318,121.475182,31.216367,310100024524015,,
上海地铁,地铁10号线,310100027703,陕西南路,1.569,24.887,121.458741,31.215148,310100025685019,,
上海地铁,地铁10号线,310100027703,上海图书馆,1.584,26.471,121.444363,31.207960,310100027703011,,
上海地铁,地铁10号线,310100027703,交通大学,1.077,27.548,121.435253,31.202213,310100024518022,,
上海地铁,地铁10号线,310100027703,虹桥路,1.469,29.017,121.420814,31.197524,310100027703009,,
上海地铁,地铁10号线,310100027703,宋园路,0.838,29.855,121.412080,31.196540,310100027703008,,
上海地铁,地铁10号线,310100027703,伊犁路,0.82,30.675,121.403899,31.198880,310100027703007,,
上海地铁,地铁10号线,310100027703,水城路,1.109,31.784,121.392259,31.199482,310100027703006,,
上海地铁,地铁10号线,310100027703,龙溪路,1.293,33.077,121.380034,31.194400,310100027703005,,
上海地铁,地铁10号线,310100027703,龙柏新村,2.15,35.227,121.370480,31.176882,310100027703004,,
上海地铁,地铁10号线,310100027703,紫藤路,0.965,36.192,121.364831,31.169674,310100027703003,,
上海地铁,地铁10号线,310100027703,航中路,1.02,37.212,121.355336,31.165417,310100027703002,,
