系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
深圳地铁,地铁7号线,440300024050,深大丽湖,0.0,0.0,113.988381,22.592903,440300024050031,,
深圳地铁,地铁7号线,440300024050,北大,1.041,1.041,113.978313,22.593998,440300024050032,,
深圳地铁,地铁7号线,440300024050,西丽湖,1.301,2.342,113.965648,22.593567,440300024050003,,
深圳地铁,地铁7号线,440300024050,西丽,1.841,4.183,113.954396,22.580677,440300024050004,,
深圳地铁,地铁7号线,440300024050,茶光,0.727,4.91,113.954311,22.574138,440300024050025,,
深圳地铁,地铁7号线,440300024050,珠光,0.915,5.825,113.960559,22.568270,440300024050005,,
深圳地铁,地铁7号线,440300024050,龙井,1.526,7.351,113.974687,22.564010,440300024050006,,
深圳地铁,地铁7号线,440300024050,桃源村,0.876,8.227,113.981962,22.559900,440300024050007,,
深圳地铁,地铁7号线,440300024050,深云,1.265,9.492,113.993727,22.556537,440300024050008,,
深圳地铁,地铁7号线,440300024050,安托山,1.547,11.039,114.006236,22.548785,440300024050009,,
深圳地铁,地铁7号线,440300024050,农林,1.536,12.575,114.018135,22.540411,440300024050010,,
深圳地铁,地铁7号线,440300024050,车公庙,0.916,13.491,114.025830,22.536247,440300024050011,,
深圳地铁,地铁7号线,440300024050,上沙,1.631,15.122,114.035504,22.524612,440300024050012,,
深圳地铁,地铁7号线,440300024050,沙尾,0.841,15.963,114.042579,22.520798,440300024050013,,
深圳地铁,地铁7号线,440300024050,石厦,1.179,17.142,114.053616,22.523708,440300024050014,,
深圳地铁,地铁7号线,440300024050,皇岗村,0.641,17.783,114.059823,22.523138,440300024050026,,
深圳地铁,地铁7号线,440300024050,福民,0.626,18.409,114.065915,22.523226,440300024050015,,
深圳地铁,地铁7号线,440300024050,皇岗口岸,0.843,19.252,114.073972,22.521799,440300024050016,,
深圳地铁,地铁7号线,440300024050,赤尾,1.453,20.705,114.083598,22.531374,440300024050017,,
深圳地铁,地铁7号线,440300024050,华强南,0.729,21.434,114.086825,22.537214,440300024050018,,
深圳地铁,地铁7号线,440300024050,华强北,0.817,22.251,114.085413,22.544441,440300024050028,,
深圳地铁,地铁7号线,440300024050,华新,0.521,22.772,114.086654,22.548981,440300024050019,,
深圳地铁,地铁7号线,440300024050,黄木岗,0.749,23.521,114.087234,22.555699,440300024050020,,
深圳地铁,地铁7号线,440300024050,八卦岭,1.03,24.551,114.094649,22.561941,440300024046038,,
深圳地铁,地铁7号线,440300024050,红岭北,0.993,25.544,114.104315,22.562030,440300024050022,,
深圳地铁,地铁7号线,440300024050,笋岗,0.733,26.277,114.111295,22.563406,440300024050029,,
深圳地铁,地铁7号线,440300024050,洪湖,1.184,27.461,114.122465,22.566056,440300024050030,,
深圳地铁,地铁7号线,440300024050,田贝,0.791,28.252,114.130052,22.567280,440300024050023,,
深圳地铁,地铁7号线,440300024050,太安,1.0,29.252,114.137119,22.573466,440300024050024,,
