系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
天津地铁,地铁10号线,900000079480,屿东城,0.0,0.0,117.279840,39.147214,120100021904017,,
天津地铁,地铁10号线,900000079480,崂山道,1.0,1.0,117.283592,39.138700,900000079480002,,
天津地铁,地铁10号线,900000079480,香山道,0.82,1.82,117.286522,39.131684,900000079480003,,
天津地铁,地铁10号线,900000079480,万山道,0.776,2.596,117.287628,39.124755,900000079480004,,
天津地铁,地铁10号线,900000079480,沙柳南路,0.827,3.423,117.288921,39.117388,120100021319018,,
天津地铁,地铁10号线,900000079480,方山道,0.807,4.23,117.289429,39.110140,900000079480006,,
天津地铁,地铁10号线,900000079480,金贸产业园,0.837,5.067,117.287541,39.102761,900000079480007,,
天津地铁,地铁10号线,900000079480,龙涵道,0.924,5.991,117.287063,39.094459,900000079480008,,
天津地铁,地铁10号线,900000079480,环宇道,1.134,7.125,117.285842,39.084306,900000079480009,,
天津地铁,地铁10号线,900000079480,柳林路,1.352,8.477,117.284779,39.072173,900000079480010,,
天津地铁,地铁10号线,900000079480,财经大学,1.14,9.617,117.276919,39.063938,120100021504022,,
天津地铁,地铁10号线,900000079480,微山路,1.487,11.104,117.259748,39.062922,900000079480012,,
天津地铁,地铁10号线,900000079480,玛钢厂,0.608,11.712,117.252721,39.062545,900000079480013,,
天津地铁,地铁10号线,900000079480,春海路,0.836,12.548,117.243057,39.062960,900000079480014,,
天津地铁,地铁10号线,900000079480,南珠桥,1.352,13.9,117.227425,39.063683,120100021321021,,
天津地铁,地铁10号线,900000079480,友谊南路,0.855,14.755,117.217520,39.063806,900000079480016,,
天津地铁,地铁10号线,900000079480,江湾二支路,1.007,15.762,117.205862,39.063799,900000079480017,,
天津地铁,地铁10号线,900000079480,丽江道,1.016,16.778,117.194170,39.062765,900000079480018,,
天津地铁,地铁10号线,900000079480,昌凌路,1.059,17.837,117.184695,39.056723,120100021323028,,
天津地铁,地铁10号线,900000079480,瑶环路,0.87,18.707,117.174953,39.054725,900000079480020,,
天津地铁,地铁10号线,900000079480,于台,1.408,20.115,117.162563,39.046497,900000079480022,,
