系统,线路,线路ID,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
武汉地铁,轨道交通6号线,420100024335,新城十一路,0.0,0.0,114.109439,30.632773,420100024335033,,
武汉地铁,轨道交通6号线,420100024335,码头潭公园,1.364,1.364,114.123644,30.631684,420100024335032,,
武汉地铁,轨道交通6号线,420100024335,五环体育中心,1.295,2.659,114.136902,30.634026,420100024335031,,
武汉地铁,轨道交通6号线,420100024335,二雅路,1.545,4.204,114.153009,30.633044,420100024335030,,
武汉地铁,轨道交通6号线,420100024335,海口三路,1.393,5.597,114.167486,30.634344,420100024335029,,
武汉地铁,轨道交通6号线,420100024335,金银湖公园,1.314,6.911,114.180894,30.636899,420100024335028,,
武汉地铁,轨道交通6号线,420100024335,金银湖,2.317,9.228,114.204948,30.639308,420100024335027,,
武汉地铁,轨道交通6号线,420100024335,园博园北,1.695,10.923,114.222603,30.637990,420100024335026,,
武汉地铁,轨道交通6号线,420100024335,轻工大学,1.145,12.068,114.234406,30.639680,420100024335025,,
武汉地铁,轨道交通6号线,420100024335,常青花园,0.774,12.842,114.242435,30.640564,420100024335024,,
武汉地铁,轨道交通6号线,420100024335,杨汊湖,1.86,14.702,114.261081,30.635814,420100024335023,,
武汉地铁,轨道交通6号线,420100024335,石桥,0.701,15.403,114.265265,30.630637,420100024335022,,
武汉地铁,轨道交通6号线,420100024335,唐家墩,1.554,16.957,114.271276,30.617653,420100024335021,,
武汉地铁,轨道交通6号线,420100024335,三眼桥,0.92,17.877,114.275743,30.610324,420100024335020,,
武汉地铁,轨道交通6号线,420100024335,香港路,1.033,18.91,114.284769,30.605235,420100024331010,,
武汉地铁,轨道交通6号线,420100024335,苗栗路,0.87,19.78,114.289952,30.598804,420100024335018,,
武汉地铁,轨道交通6号线,420100024335,大智路,0.846,20.626,114.295038,30.592581,420100024335017,,
武汉地铁,轨道交通6号线,420100024335,江汉路,1.469,22.095,114.292306,30.579581,420100024335016,,
武汉地铁,轨道交通6号线,420100024335,六渡桥,0.923,23.018,114.284270,30.574991,420100024335015,,
武汉地铁,轨道交通6号线,420100024335,汉正街,1.01,24.028,114.274677,30.571218,420100024335014,,
武汉地铁,轨道交通6号线,420100024335,武胜路,0.581,24.609,114.268958,30.569459,420100024335013,,
武汉地铁,轨道交通6号线,420100024335,琴台,1.348,25.957,114.266282,30.557559,420100024335012,,
武汉地铁,轨道交通6号线,420100024335,钟家村,0.92,26.877,114.266158,30.549283,420100024335011,,
武汉地铁,轨道交通6号线,420100024335,马鹦路,1.269,28.146,114.266799,30.537882,420100024335010,,
武汉地铁,轨道交通6号线,420100024335,建港,1.427,29.573,114.259685,30.526609,420100024335009,,
武汉地铁,轨道交通6号线,420100024335,前进村,0.94,30.513,114.253366,30.520144,420100024335008,,
武汉地铁,轨道交通6号线,420100024335,国博中心北,1.478,31.991,114.242654,30.510581,420100024335007,,
武汉地铁,轨道交通6号线,420100024335,国博中心南,0.805,32.796,114.236109,30.506036,420100024335006,,
武汉地铁,轨道交通6号线,420100024335,老关村,1.756,34.552,114.225922,30.492910,420100024335005,,
武汉地铁,轨道交通6号线,420100024335,江城大道,2.304,36.856,114.202216,30.496388,420100024335004,,
武汉地铁,轨道交通6号线,420100024335,车城东路,2.132,38.988,114.179988,30.495551,420100024335003,,
武汉地铁,轨道交通6号线,420100024335,东风公司,1.425,40.413,114.166088,30.500107,420100024331024,,
