系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
西安地铁,地铁4号线,610100020613,西安北站,元鼎路,610100020613004,610100020613027,1.594,
西安地铁,地铁4号线,610100020613,元鼎路,凤城十二路,610100020613027,610100020613028,0.904,
西安地铁,地铁4号线,610100020613,凤城十二路,凤城九路,610100020613028,610100020613029,1.267,
西安地铁,地铁4号线,610100020613,凤城九路,文景路,610100020613029,610100020613030,0.977,
西安地铁,地铁4号线,610100020613,文景路,行政中心,610100020613030,610100020613031,0.973,
西安地铁,地铁4号线,610100020613,行政中心,市中医医院,610100020613031,610100020613032,1.215,
西安地铁,地铁4号线,610100020613,市中医医院,常青路,610100020613032,610100020613033,1.188,
西安地铁,地铁4号线,610100020613,常青路,百花村,610100020613033,610100020613034,1.003,
西安地铁,地铁4号线,610100020613,百花村,余家寨,610100020613034,610100020613035,1.046,
西安地铁,地铁4号线,610100020613,余家寨,大明宫北,610100020613035,610100020613036,1.003,
西安地铁,地铁4号线,610100020613,大明宫北,大明宫,610100020613036,610100020613011,1.273,
西安地铁,地铁4号线,610100020613,大明宫,含元殿,610100020613011,610100020613037,1.018,
西安地铁,地铁4号线,610100020613,含元殿,西安站,610100020613037,610100020613013,1.103,
西安地铁,地铁4号线,610100020613,西安站,五路口,610100020613013,610100020613014,1.016,
西安地铁,地铁4号线,610100020613,五路口,大差市,610100020613014,610100020613015,1.177,
西安地铁,地铁4号线,610100020613,大差市,和平门,610100020613015,610100020613016,1.072,
西安地铁,地铁4号线,610100020613,和平门,建筑科技大学·李家村,610100020613016,610100020613017,0.952,
西安地铁,地铁4号线,610100020613,建筑科技大学·李家村,西安科技大学,610100020613017,610100020613018,0.909,
西安地铁,地铁4号线,610100020613,西安科技大学,大雁塔,610100020613018,610100020611009,1.142,
西安地铁,地铁4号线,610100020613,大雁塔,大唐芙蓉园,610100020611009,610100020613038,1.578,
西安地铁,地铁4号线,610100020613,大唐芙蓉园,曲江池西,610100020613038,610100020613039,1.431,
西安地铁,地铁4号线,610100020613,曲江池西,金滹沱,610100020613039,610100020613040,1.863,
西安地铁,地铁4号线,610100020613,金滹沱,航天大道,610100020613040,610100020613024,1.099,
西安地铁,地铁4号线,610100020613,航天大道,飞天路,610100020613024,610100020613041,0.929,
西安地铁,地铁4号线,610100020613,飞天路,东长安街,610100020613041,610100020613042,0.941,
西安地铁,地铁4号线,610100020613,东长安街,神舟大道,610100020613042,610100020613043,1.523,
西安地铁,地铁4号线,610100020613,神舟大道,航天东路,610100020613043,610100020613044,1.188,
西安地铁,地铁4号线,610100020613,航天东路,航天新城,610100020613044,610100020613045,1.524,
