系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
郑州地铁,地铁7号线,900000080953,东赵,黄河迎宾馆,900000080953001,410100021064022,1.255,
郑州地铁,地铁7号线,900000080953,黄河迎宾馆,北大学城,410100021064022,900000080953003,0.936,
郑州地铁,地铁7号线,900000080953,北大学城,琉璃寺,900000080953003,900000080953004,2.071,
郑州地铁,地铁7号线,900000080953,琉璃寺,张家村,900000080953004,900000075797005,2.114,
郑州地铁,地铁7号线,900000080953,张家村,陈砦,900000075797005,900000080953006,1.362,
郑州地铁,地铁7号线,900000080953,陈砦,白庙,900000080953006,900000080953007,1.43,
郑州地铁,地铁7号线,900000080953,白庙,农业大学,900000080953007,900000080953008,1.351,
郑州地铁,地铁7号线,900000080953,农业大学,郑州人民医院,900000080953008,900000058317004,1.424,
郑州地铁,地铁7号线,900000080953,郑州人民医院,大石桥·市妇幼保健院,900000058317004,900000075776007,1.495,
郑州地铁,地铁7号线,900000080953,大石桥·市妇幼保健院,郑大一附院,900000075776007,900000080953011,1.446,
郑州地铁,地铁7号线,900000080953,郑大一附院,医学院,900000080953011,410100022629015,1.068,
郑州地铁,地铁7号线,900000080953,医学院,市骨科医院,410100022629015,900000080953013,1.085,
郑州地铁,地铁7号线,900000080953,市骨科医院,大学中路,900000080953013,900000080953014,0.931,
郑州地铁,地铁7号线,900000080953,大学中路,市第二人民医院,900000080953014,900000058317026,0.845,
郑州地铁,地铁7号线,900000080953,市第二人民医院,王胡砦,900000058317026,900000080953016,1.625,
郑州地铁,地铁7号线,900000080953,王胡砦,漓江路,900000080953016,900000080953017,1.233,
郑州地铁,地铁7号线,900000080953,漓江路,荆胡,900000080953017,900000080953018,1.587,
郑州地铁,地铁7号线,900000080953,荆胡,南环公园,900000080953018,900000080953019,1.09,
郑州地铁,地铁7号线,900000080953,南环公园,南岗刘,900000080953019,900000080953020,1.668,
