系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
北京地铁,地铁8号线,瀛海,德茂,110100023114021,110100023114022,1.474,
北京地铁,地铁8号线,德茂,五福堂,110100023114022,110100023114023,2.038,
北京地铁,地铁8号线,五福堂,火箭万源,110100023114023,110100023114024,1.646,
北京地铁,地铁8号线,火箭万源,东高地,110100023114024,110100023114025,1.016,
北京地铁,地铁8号线,东高地,和义,110100023114025,110100023114026,1.254,
北京地铁,地铁8号线,和义,大红门南,110100023114026,110100023114027,2.434,
北京地铁,地铁8号线,大红门南,大红门,110100023114027,110100023114028,0.977,
北京地铁,地铁8号线,大红门,海户屯,110100023114028,110100023114029,0.721,
北京地铁,地铁8号线,海户屯,木樨园,110100023114029,110100023114030,0.83,
北京地铁,地铁8号线,木樨园,永定门外,110100023114030,110100023114031,0.91,
北京地铁,地铁8号线,永定门外,天桥,110100023114031,110100023114032,1.612,
北京地铁,地铁8号线,天桥,珠市口,110100023114032,110100023054008,1.047,
北京地铁,地铁8号线,珠市口,前门,110100023054008,110100023098012,0.986,
北京地铁,地铁8号线,前门,王府井,110100023098012,110100023110017,1.456,
北京地铁,地铁8号线,王府井,金鱼胡同,110100023110017,110100023114036,0.814,
北京地铁,地铁8号线,金鱼胡同,中国美术馆,110100023114036,110100023114020,0.925,
北京地铁,地铁8号线,中国美术馆,南锣鼓巷,110100023114020,110100023114002,1.261,
北京地铁,地铁8号线,南锣鼓巷,什刹海,110100023114002,110100023114003,0.797,
北京地铁,地铁8号线,什刹海,鼓楼大街,110100023114003,110100023098003,1.283,
北京地铁,地铁8号线,鼓楼大街,安德里北街,110100023098003,110100023114005,0.925,
北京地铁,地铁8号线,安德里北街,安华桥,110100023114005,110100023114006,1.273,
北京地铁,地铁8号线,安华桥,北土城,110100023114006,110100023114007,0.923,
北京地铁,地铁8号线,北土城,奥体中心,110100023114007,110100023114008,0.989,
北京地铁,地铁8号线,奥体中心,奥林匹克公园,110100023114008,110100023070018,1.828,
北京地铁,地铁8号线,奥林匹克公园,森林公园南门,110100023070018,110100023114010,0.883,
北京地铁,地铁8号线,森林公园南门,林萃桥,110100023114010,110100023114011,2.122,
北京地铁,地铁8号线,林萃桥,永泰庄,110100023114011,110100023114012,2.357,
北京地铁,地铁8号线,永泰庄,西小口,110100023114012,110100023114013,1.047,
北京地铁,地铁8号线,西小口,育新,110100023114013,110100023114014,1.509,
北京地铁,地铁8号线,育新,霍营,110100023114014,110100023114015,1.715,
北京地铁,地铁8号线,霍营,回龙观东大街,110100023114015,110100023114016,1.064,
北京地铁,地铁8号线,回龙观东大街,平西府,110100023114016,110100023114017,1.498,
北京地铁,地铁8号线,平西府,育知路,110100023114017,110100023114018,2.017,
北京地铁,地铁8号线,育知路,朱辛庄,110100023114018,110100023114019,2.149,
