系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
北京地铁,地铁8号线,瀛海,0.0,0.0,116.448982,39.760713,110100023114021,,
北京地铁,地铁8号线,德茂,1.474,1.474,116.441467,39.772649,110100023114022,,
北京地铁,地铁8号线,五福堂,2.038,3.512,116.423903,39.785046,110100023114023,,
北京地铁,地铁8号线,火箭万源,1.646,5.158,116.418627,39.799287,110100023114024,,
北京地铁,地铁8号线,东高地,1.016,6.174,116.409427,39.805074,110100023114025,,
北京地铁,地铁8号线,和义,1.254,7.428,116.402073,39.814838,110100023114026,,
北京地铁,地铁8号线,大红门南,2.434,9.862,116.401045,39.836715,110100023114027,,
北京地铁,地铁8号线,大红门,0.977,10.839,116.399154,39.845383,110100023114028,,
北京地铁,地铁8号线,海户屯,0.721,11.56,116.400301,39.851805,110100023114029,,
北京地铁,地铁8号线,木樨园,0.83,12.39,116.399839,39.859262,110100023114030,,
北京地铁,地铁8号线,永定门外,0.91,13.3,116.399369,39.867435,110100023114031,,
北京地铁,地铁8号线,天桥,1.612,14.912,116.398712,39.881920,110100023114032,,
北京地铁,地铁8号线,珠市口,1.047,15.959,116.398372,39.891334,110100023054008,,
北京地铁,地铁8号线,前门,0.986,16.945,116.397937,39.900192,110100023098012,,
北京地铁,地铁8号线,王府井,1.456,18.401,116.411571,39.908069,110100023110017,,
北京地铁,地铁8号线,金鱼胡同,0.814,19.215,116.411178,39.915387,110100023114036,,
北京地铁,地铁8号线,中国美术馆,0.925,20.14,116.410803,39.923705,110100023114020,,
北京地铁,地铁8号线,南锣鼓巷,1.261,21.401,116.404192,39.933848,110100023114002,,
北京地铁,地铁8号线,什刹海,0.797,22.198,116.396219,39.937583,110100023114003,,
北京地铁,地铁8号线,鼓楼大街,1.283,23.481,116.393776,39.948972,110100023098003,,
北京地铁,地铁8号线,安德里北街,0.925,24.406,116.395145,39.957227,110100023114005,,
北京地铁,地铁8号线,安华桥,1.273,25.679,116.394159,39.968653,110100023114006,,
北京地铁,地铁8号线,北土城,0.923,26.602,116.394193,39.976953,110100023114007,,
北京地铁,地铁8号线,奥体中心,0.989,27.591,116.393759,39.985837,110100023114008,,
北京地铁,地铁8号线,奥林匹克公园,1.828,29.419,116.391758,40.002207,110100023070018,,
北京地铁,地铁8号线,森林公园南门,0.883,30.302,116.392600,40.010122,110100023114010,,
北京地铁,地铁8号线,林萃桥,2.122,32.424,116.372998,40.021906,110100023114011,,
北京地铁,地铁8号线,永泰庄,2.357,34.781,116.354580,40.037728,110100023114012,,
北京地铁,地铁8号线,西小口,1.047,35.828,116.351644,40.046873,110100023114013,,
北京地铁,地铁8号线,育新,1.509,37.337,116.347328,40.060039,110100023114014,,
北京地铁,地铁8号线,霍营,1.715,39.052,116.360286,40.071857,110100023114015,,
北京地铁,地铁8号线,回龙观东大街,1.064,40.116,116.363027,40.081194,110100023114016,,
北京地铁,地铁8号线,平西府,1.498,41.614,116.350425,40.090607,110100023114017,,
北京地铁,地铁8号线,育知路,2.017,43.631,116.326992,40.087863,110100023114018,,
北京地铁,地铁8号线,朱辛庄,2.149,45.78,116.313698,40.104297,110100023114019,,
