系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
重庆轨道交通,轨道交通4号线,黄岭,0.0,0.0,106.841295,29.771858,900000070644010,,
重庆轨道交通,轨道交通4号线,石船,1.561,1.561,106.833681,29.759476,900000070644011,,
重庆轨道交通,轨道交通4号线,桐梓林,2.623,4.184,106.815394,29.742033,900000070644012,,
重庆轨道交通,轨道交通4号线,普福,1.853,6.037,106.803826,29.728731,900000070644013,,
重庆轨道交通,轨道交通4号线,高石塔,1.959,7.996,106.802914,29.711129,900000070644014,,
重庆轨道交通,轨道交通4号线,龙兴,1.09,9.086,106.801778,29.701380,900000070644015,,
重庆轨道交通,轨道交通4号线,龙驿大道,1.517,10.603,106.794023,29.689518,900000070644016,,
重庆轨道交通,轨道交通4号线,三板溪,2.441,13.044,106.797678,29.667796,900000070644017,,
重庆轨道交通,轨道交通4号线,复盛,1.333,14.377,106.800299,29.656026,900000070644018,,
重庆轨道交通,轨道交通4号线,石河清,1.982,16.359,106.799592,29.638214,900000070644019,,
重庆轨道交通,轨道交通4号线,雁坪,2.677,19.036,106.775059,29.627041,900000070644020,,
重庆轨道交通,轨道交通4号线,鱼嘴,1.217,20.253,106.763066,29.623695,900000070644021,,
重庆轨道交通,轨道交通4号线,果园物流枢纽,2.805,23.058,106.738883,29.609759,900000070644022,,
重庆轨道交通,轨道交通4号线,鹿栖,2.42,25.478,106.716280,29.600406,900000070644023,,
重庆轨道交通,轨道交通4号线,铁山坪,4.766,30.244,106.669502,29.613942,900000070644024,,
重庆轨道交通,轨道交通4号线,唐家沱,1.358,31.602,106.659140,29.605695,900000070644001,,
重庆轨道交通,轨道交通4号线,太平冲,1.703,33.305,106.641522,29.605873,900000070644002,,
重庆轨道交通,轨道交通4号线,港城,1.812,35.117,106.631766,29.619783,900000070644003,,
重庆轨道交通,轨道交通4号线,黑石子,1.171,36.288,106.621014,29.624639,900000070644004,,
重庆轨道交通,轨道交通4号线,寸滩,1.47,37.758,106.606153,29.621815,900000070644005,,
重庆轨道交通,轨道交通4号线,保税港,2.253,40.011,106.583495,29.617052,900000070621018,,
重庆轨道交通,轨道交通4号线,头塘,1.39,41.401,106.573325,29.608210,900000070621017,,
重庆轨道交通,轨道交通4号线,重庆北站北广场,2.203,43.604,106.551195,29.612922,900000070644008,,
重庆轨道交通,轨道交通4号线,民安大道,2.181,45.785,106.529107,29.608917,900000055077034,,
