系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
大连地铁,地铁2号线,大连北站,南关岭,210200021331003,210200021333037,1.671,
大连地铁,地铁2号线,南关岭,体育中心,210200021333037,210200021333038,1.511,
大连地铁,地铁2号线,体育中心,卫生中心,210200021333038,210200021333039,1.265,
大连地铁,地铁2号线,卫生中心,后革,210200021333039,210200021333040,1.242,
大连地铁,地铁2号线,后革,革镇堡,210200021333040,210200021333041,1.333,
大连地铁,地铁2号线,革镇堡,中革,210200021333041,210200021333042,1.226,
大连地铁,地铁2号线,中革,前革,210200021333042,210200021333043,1.779,
大连地铁,地铁2号线,前革,辛寨子,210200021333043,210200021333035,1.365,
大连地铁,地铁2号线,辛寨子,机场,210200021333035,210200021333011,2.426,
大连地铁,地铁2号线,机场,虹港路,210200021333011,210200021333012,0.699,
大连地铁,地铁2号线,虹港路,虹锦路,210200021333012,210200021333013,0.994,
大连地铁,地铁2号线,虹锦路,红旗西路,210200021333013,210200021333014,2.232,
大连地铁,地铁2号线,红旗西路,湾家,210200021333014,210200021333015,0.811,
大连地铁,地铁2号线,湾家,马栏广场,210200021333015,210200021333016,1.21,
大连地铁,地铁2号线,马栏广场,辽师大,210200021333016,210200021333017,0.934,
大连地铁,地铁2号线,辽师大,交通大学,210200021333017,210200021333030,0.751,
大连地铁,地铁2号线,交通大学,西安路,210200021333030,210200021331013,1.374,
大连地铁,地铁2号线,西安路,联合路,210200021331013,210200021333020,0.976,
大连地铁,地铁2号线,联合路,人民广场,210200021333020,210200021333021,1.264,
大连地铁,地铁2号线,人民广场,一二九街,210200021333021,210200021333022,1.093,
大连地铁,地铁2号线,一二九街,青泥洼桥,210200021333022,210200021333023,0.872,
大连地铁,地铁2号线,青泥洼桥,友好广场,210200021333023,210200021333024,0.621,
大连地铁,地铁2号线,友好广场,中山广场,210200021333024,210200021333025,0.582,
大连地铁,地铁2号线,中山广场,港湾广场,210200021333025,210200021333026,1.519,
大连地铁,地铁2号线,港湾广场,会议中心,210200021333026,210200021333027,1.349,
大连地铁,地铁2号线,会议中心,东港,210200021333027,210200021333032,1.316,
大连地铁,地铁2号线,东港,东海,210200021333032,210200021333033,1.273,
大连地铁,地铁2号线,东海,海之韵,210200021333033,210200021333034,1.181,
