系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
福州地铁,地铁5号线,荆溪厚屿,0.0,0.0,119.231542,26.109727,900000088653001,,
福州地铁,地铁5号线,农林大学,3.17,3.17,119.246814,26.084736,900000088653002,,
福州地铁,地铁5号线,洪塘,1.311,4.481,119.250149,26.073332,900000088653003,,
福州地铁,地铁5号线,阵坂,0.898,5.379,119.251769,26.065387,900000088653004,,
福州地铁,地铁5号线,马榕,1.288,6.667,119.258374,26.055436,900000088653005,,
福州地铁,地铁5号线,金山,0.972,7.639,119.262331,26.047449,350100020745011,,
福州地铁,地铁5号线,凤岗里,1.076,8.715,119.266951,26.038708,900000088653007,,
福州地铁,地铁5号线,浦上大道,0.769,9.484,119.272675,26.034091,900000088653008,,
福州地铁,地铁5号线,霞镜,1.048,10.532,119.276478,26.025311,900000088653009,,
福州地铁,地铁5号线,东岭,1.331,11.863,119.277347,26.013371,900000088653010,,
福州地铁,地铁5号线,台屿,0.914,12.777,119.281334,26.005975,900000088653011,,
福州地铁,地铁5号线,盘屿,1.376,14.153,119.292994,25.999391,900000088653012,,
福州地铁,地铁5号线,吴山,1.788,15.941,119.310732,25.997274,900000088653013,,
福州地铁,地铁5号线,盖山竹榄,1.052,16.993,119.320549,25.993859,900000088653014,,
福州地铁,地铁5号线,义序,1.036,18.029,119.32743,25.986895,900000088653015,,
福州地铁,地铁5号线,帝封江,0.802,18.831,119.335440,25.987382,900000088653016,,
福州地铁,地铁5号线,螺洲古镇,1.598,20.429,119.351377,25.98628,900000088653017,,
福州地铁,地铁5号线,前锦,1.121,21.55,119.362402,25.984426,900000088653021,,
福州地铁,地铁5号线,龙江,0.998,22.548,119.372382,25.984442,900000088653022,,
福州地铁,地铁5号线,福州火车南站,1.96,24.508,119.391878,25.986372,350100020612022,,
