系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
广州地铁,地铁13号线,天河公园,0.0,0.0,113.364025,23.124903,900000046003032,,
广州地铁,地铁13号线,棠下,1.804,1.804,113.381651,23.125605,900000071578013,,
广州地铁,地铁13号线,车陂,1.521,3.325,113.396489,23.124704,440100023035003,,
广州地铁,地铁13号线,天河珠村,2.63,5.955,113.420673,23.116653,900000071578015,,
广州地铁,地铁13号线,鱼珠,2.158,8.113,113.432261,23.100431,440100023037022,,
广州地铁,地铁13号线,裕丰围,2.486,10.599,113.455795,23.094844,900000043742025,,
广州地铁,地铁13号线,双岗,1.896,12.495,113.474331,23.094468,900000071578003,,
广州地铁,地铁13号线,南海神庙,2.648,15.143,113.497434,23.083718,900000071578004,,
广州地铁,地铁13号线,夏园,2.144,17.287,113.518376,23.082901,440100023037034,,
广州地铁,地铁13号线,南岗,2.73,20.017,113.541438,23.095253,900000071578006,,
广州地铁,地铁13号线,沙村,3.418,23.435,113.570399,23.110590,900000071578007,,
广州地铁,地铁13号线,白江,2.938,26.373,113.595627,23.123235,900000071578008,,
广州地铁,地铁13号线,新塘,1.308,27.681,113.604472,23.131731,900000071578009,,
广州地铁,地铁13号线,官湖,3.338,31.019,113.636569,23.137226,900000071578010,,
广州地铁,地铁13号线,新沙,1.314,32.333,113.649417,23.136863,900000071578011,,
