系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
广州地铁,地铁2号线,广州南站,石壁,440100023308002,440100023308003,1.025,
广州地铁,地铁2号线,石壁,会江,440100023308003,440100023308004,2.273,
广州地铁,地铁2号线,会江,南浦,440100023308004,440100023308005,2.316,
广州地铁,地铁2号线,南浦,洛溪,440100023308005,440100023308006,1.244,
广州地铁,地铁2号线,洛溪,南洲,440100023308006,440100023043026,2.431,
广州地铁,地铁2号线,南洲,东晓南,440100023043026,440100023308008,0.807,
广州地铁,地铁2号线,东晓南,江泰路,440100023308008,440100023308009,1.845,
广州地铁,地铁2号线,江泰路,昌岗,440100023308009,440100023047005,1.01,
广州地铁,地铁2号线,昌岗,江南西,440100023047005,440100023308011,0.79,
广州地铁,地铁2号线,江南西,市二宫,440100023308011,440100023308012,1.06,
广州地铁,地铁2号线,市二宫,海珠广场,440100023308012,440100023053014,1.083,
广州地铁,地铁2号线,海珠广场,公园前,440100023053014,440100023049009,1.189,
广州地铁,地铁2号线,公园前,纪念堂,440100023049009,440100023308015,0.754,
广州地铁,地铁2号线,纪念堂,越秀公园,440100023308015,440100023308016,0.899,
广州地铁,地铁2号线,越秀公园,广州火车站,440100023308016,440100023037007,1.024,
广州地铁,地铁2号线,广州火车站,三元里,440100023037007,440100023308018,1.252,
广州地铁,地铁2号线,三元里,飞翔公园,440100023308018,440100023308019,1.271,
广州地铁,地铁2号线,飞翔公园,白云公园,440100023308019,440100023308020,1.593,
广州地铁,地铁2号线,白云公园,白云文化广场,440100023308020,440100023308021,1.004,
广州地铁,地铁2号线,白云文化广场,萧岗,440100023308021,440100023308022,1.129,
广州地铁,地铁2号线,萧岗,江夏,440100023308022,440100023308023,1.442,
广州地铁,地铁2号线,江夏,黄边,440100023308023,440100023308024,1.218,
广州地铁,地铁2号线,黄边,嘉禾望岗,440100023308024,440100023031006,1.769,
