系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
济南地铁,轨道交通4号线,彭家庄,0.0,0.0,117.229862,36.709610,900000073474020,,
济南地铁,轨道交通4号线,历城二中唐冶校区,0.771,0.771,117.229090,36.702700,900000217582002,,
济南地铁,轨道交通4号线,唐冶,1.42,2.191,117.226263,36.690131,900000217582003,,
济南地铁,轨道交通4号线,唐冶公园,1.2,3.391,117.226833,36.679345,900000217582004,,
济南地铁,轨道交通4号线,邢村立交桥东,1.103,4.494,117.219162,36.671560,900000217582005,,
济南地铁,轨道交通4号线,邢村立交桥西,1.555,6.049,117.201985,36.673935,900000217582006,,
济南地铁,轨道交通4号线,文旅城,0.776,6.825,117.193557,36.672206,900000217582007,,
济南地铁,轨道交通4号线,黄金产业园,1.195,8.02,117.180422,36.670094,900000217582008,,
济南地铁,轨道交通4号线,林家庄,1.324,9.344,117.165682,36.668644,900000217582009,,
济南地铁,轨道交通4号线,汉峪金谷,1.488,10.832,117.150418,36.663240,900000217582010,,
济南地铁,轨道交通4号线,舜泰广场,0.621,11.453,117.143975,36.661133,900000217582011,,
济南地铁,轨道交通4号线,奥体东路,1.384,12.837,117.128587,36.659551,900000217582012,,
济南地铁,轨道交通4号线,奥体中心,1.523,14.36,117.111510,36.659401,900000066599014,,
济南地铁,轨道交通4号线,转山西路(万象城),0.849,15.209,117.102219,36.657726,900000177338006,,
济南地铁,轨道交通4号线,山东博物馆,0.771,15.98,117.094104,36.655339,900000217582015,,
济南地铁,轨道交通4号线,浆水泉路,0.764,16.744,117.085976,36.653165,900000217582016,,
济南地铁,轨道交通4号线,燕山立交桥,0.726,17.47,117.077965,36.652020,900000217582017,,
济南地铁,轨道交通4号线,山大路南口,1.99,19.46,117.055971,36.649060,900000217582018,,
济南地铁,轨道交通4号线,山师东路,0.87,20.33,117.046235,36.648576,900000217582033,,
济南地铁,轨道交通4号线,千佛山,1.048,21.378,117.034509,36.648026,900000217582019,,
济南地铁,轨道交通4号线,泉城公园,1.299,22.677,117.019947,36.648118,900000217582020,,
济南地铁,轨道交通4号线,省体育中心,0.756,23.433,117.011473,36.648099,900000217582021,,
济南地铁,轨道交通4号线,八一立交桥,1.15,24.583,116.998607,36.648749,900000217582022,,
济南地铁,轨道交通4号线,五里牌坊,1.464,26.047,116.982198,36.648457,900000217582023,,
济南地铁,轨道交通4号线,南辛庄,0.936,26.983,116.971708,36.648376,900000217582024,,
济南地铁,轨道交通4号线,营市街,0.908,27.891,116.961539,36.648586,900000217582025,,
济南地铁,轨道交通4号线,段店,1.874,29.765,116.940733,36.650875,900000217582026,,
济南地铁,轨道交通4号线,腊山,1.95,31.715,116.918965,36.652471,900000073474036,,
济南地铁,轨道交通4号线,腊山河公园,1.291,33.006,116.904648,36.650786,900000217582028,,
济南地铁,轨道交通4号线,大杨,0.757,33.763,116.896207,36.650122,900000071030003,,
济南地铁,轨道交通4号线,济南西站西广场,2.175,35.938,116.888885,36.668777,900000217582030,,
济南地铁,轨道交通4号线,春风悦动公园,1.32,37.258,116.883075,36.679693,900000217582031,,
济南地铁,轨道交通4号线,第一医科大学,1.294,38.552,116.869385,36.675843,900000217582032,,
