系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
济南地铁,轨道交通济阳线,济南东站(济阳线),0.0,0.0,117.158424,36.746472,900000235482001,,
济南地铁,轨道交通济阳线,崔寨,10.109,10.109,117.108830,36.828249,900000235482004,,
济南地铁,轨道交通济阳线,黄河会展中心,0.777,10.886,117.111973,36.834773,900000235482005,,
济南地铁,轨道交通济阳线,英才学院北校区,2.326,13.212,117.113791,36.855640,900000235482006,,
济南地铁,轨道交通济阳线,清宁,1.027,14.239,117.114657,36.864847,900000235482007,,
济南地铁,轨道交通济阳线,花二庄北街,1.503,15.742,117.115946,36.878322,900000235482008,,
济南地铁,轨道交通济阳线,回河,6.115,21.857,117.120148,36.933209,900000235482009,,
济南地铁,轨道交通济阳线,新元学校,5.732,27.589,117.175364,36.959847,900000235482012,,
济南地铁,轨道交通济阳线,济北小学,1.112,28.701,117.175103,36.969846,900000235482013,,
济南地铁,轨道交通济阳线,济阳市民中心,1.182,29.883,117.175216,36.980480,900000235482014,,
济南地铁,轨道交通济阳线,济阳北,2.686,32.569,117.175629,37.004637,900000235482016,,
