系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
南昌地铁,地铁3号线,京东大道,梁万,900000057035001,900000057035002,1.209,
南昌地铁,地铁3号线,梁万,火炬广场,900000057035002,900000057035003,1.076,
南昌地铁,地铁3号线,火炬广场,国威路,900000057035003,900000057035004,0.767,
南昌地铁,地铁3号线,国威路,青山湖西,900000057035004,900000057035005,1.925,
南昌地铁,地铁3号线,青山湖西,上沙沟,900000057035005,900000057035006,1.158,
南昌地铁,地铁3号线,上沙沟,青山路口,900000057035006,360100020563033,1.22,
南昌地铁,地铁3号线,青山路口,墩子塘,360100020563033,900000057035008,0.757,
南昌地铁,地铁3号线,墩子塘,八一馆,900000057035008,360100020431013,1.08,
南昌地铁,地铁3号线,八一馆,六眼井,360100020431013,900000057035010,0.693,
南昌地铁,地铁3号线,六眼井,绳金塔,900000057035010,900000057035011,1.476,
南昌地铁,地铁3号线,绳金塔,十字街,900000057035011,900000057035012,0.637,
南昌地铁,地铁3号线,十字街,京家山,900000057035012,900000057035013,1.681,
南昌地铁,地铁3号线,京家山,江铃,900000057035013,900000057035014,1.63,
南昌地铁,地铁3号线,江铃,施尧,900000057035014,900000057035015,1.008,
南昌地铁,地铁3号线,施尧,八大山人,900000057035015,900000057035016,1.493,
南昌地铁,地铁3号线,八大山人,邓埠,900000057035016,900000057035017,1.331,
南昌地铁,地铁3号线,邓埠,复兴大道东,900000057035017,900000057035018,1.556,
南昌地铁,地铁3号线,复兴大道东,沥山,900000057035018,900000057035019,2.224,
南昌地铁,地铁3号线,沥山,柏岗,900000057035019,900000057035020,1.348,
南昌地铁,地铁3号线,柏岗,斗门,900000057035020,900000057035021,1.956,
南昌地铁,地铁3号线,斗门,银三角北,900000057035021,900000057035022,1.125,
