系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
宁波轨道交通,轨道交通3号线(宁奉城际),大通桥,0.0,0.0,121.581424,29.903762,330200021780018,,
宁波轨道交通,轨道交通3号线(宁奉城际),中兴大桥南,1.638,1.638,121.587855,29.890126,900000067955002,,
宁波轨道交通,轨道交通3号线(宁奉城际),明楼,1.162,2.8,121.589196,29.879741,900000067955003,,
宁波轨道交通,轨道交通3号线(宁奉城际),体育馆,0.962,3.762,121.585329,29.871762,900000067955004,,
宁波轨道交通,轨道交通3号线(宁奉城际),樱花公园,0.898,4.66,121.581421,29.864427,330200021803015,,
宁波轨道交通,轨道交通3号线(宁奉城际),儿童公园,1.287,5.947,121.578385,29.853160,900000067955006,,
宁波轨道交通,轨道交通3号线(宁奉城际),仇毕,0.93,6.877,121.575632,29.845140,900000067955007,,
宁波轨道交通,轨道交通3号线(宁奉城际),钱湖北路,1.424,8.301,121.566089,29.835373,900000067955008,,
宁波轨道交通,轨道交通3号线(宁奉城际),锦寓路,1.019,9.32,121.555692,29.833727,900000067955009,,
宁波轨道交通,轨道交通3号线(宁奉城际),四明中路,0.802,10.122,121.550882,29.827839,900000067955010,,
宁波轨道交通,轨道交通3号线(宁奉城际),鄞州区政府,0.938,11.06,121.550428,29.819417,900000067955011,,
宁波轨道交通,轨道交通3号线(宁奉城际),南部商务区,1.399,12.459,121.549155,29.806882,900000067955012,,
宁波轨道交通,轨道交通3号线(宁奉城际),鄞州客运总站,0.983,13.442,121.541650,29.800900,900000067955013,,
宁波轨道交通,轨道交通3号线(宁奉城际),句章路,1.087,14.529,121.531402,29.796846,900000067955014,,
宁波轨道交通,轨道交通3号线(宁奉城际),高塘桥,0.831,15.36,121.529558,29.789544,900000067955015,,
宁波轨道交通,轨道交通3号线(宁奉城际),姜山,2.113,17.473,121.527543,29.770623,900000067955016,,
宁波轨道交通,轨道交通3号线(宁奉城际),狮山,1.11,18.583,121.519014,29.763928,900000067955017,,
宁波轨道交通,轨道交通3号线(宁奉城际),明辉路,1.315,19.898,121.505396,29.764278,900000067955018,,
宁波轨道交通,轨道交通3号线(宁奉城际),朝阳,1.588,21.486,121.488964,29.765047,900000067955019,,
宁波轨道交通,轨道交通3号线(宁奉城际),方桥,4.137,25.623,121.452395,29.745643,900000067955020,,
宁波轨道交通,轨道交通3号线(宁奉城际),琎琳,2.647,28.27,121.448437,29.722085,900000067955021,,
宁波轨道交通,轨道交通3号线(宁奉城际),南渡,1.499,29.769,121.447341,29.708642,900000067955022,,
宁波轨道交通,轨道交通3号线(宁奉城际),大成东路,4.028,33.797,121.449564,29.672472,900000067955023,,
宁波轨道交通,轨道交通3号线(宁奉城际),金海路,2.332,36.129,121.449288,29.651501,900000067955024,,
