系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
宁波轨道交通,轨道交通5号线,骆驼桥,镇海大道(慈海),900000071573023,900000071573024,1.721,
宁波轨道交通,轨道交通5号线,镇海大道(慈海),永茂路,900000071573024,900000071573025,2.242,
宁波轨道交通,轨道交通5号线,永茂路,梅堰,900000071573025,900000071573026,2.888,
宁波轨道交通,轨道交通5号线,梅堰,兴海南路,900000071573026,900000071573027,0.811,
宁波轨道交通,轨道交通5号线,兴海南路,兴庄路,900000071573027,900000071573001,0.927,
宁波轨道交通,轨道交通5号线,兴庄路,三官堂,900000071573001,330200021780021,1.193,
宁波轨道交通,轨道交通5号线,三官堂,盎孟港,330200021780021,900000071573003,1.682,
宁波轨道交通,轨道交通5号线,盎孟港,院士路,900000071573003,900000071573004,1.023,
宁波轨道交通,轨道交通5号线,院士路,会展中心,900000071573004,900000071573005,1.481,
宁波轨道交通,轨道交通5号线,会展中心,民安东路,900000071573005,900000071573006,0.716,
宁波轨道交通,轨道交通5号线,民安东路,海晏北路,900000071573006,330200021803018,0.925,
宁波轨道交通,轨道交通5号线,海晏北路,柳隘,330200021803018,900000071573008,0.916,
宁波轨道交通,轨道交通5号线,柳隘,曹隘,900000071573008,900000071573009,1.318,
宁波轨道交通,轨道交通5号线,曹隘,泗港,900000071573009,900000071573010,1.781,
宁波轨道交通,轨道交通5号线,泗港,大洋江,900000071573010,900000071573011,0.932,
宁波轨道交通,轨道交通5号线,大洋江,下应路,900000071573011,900000071573012,1.043,
宁波轨道交通,轨道交通5号线,下应路,南高教园区,900000071573012,900000067964022,1.363,
宁波轨道交通,轨道交通5号线,南高教园区,钱湖南路,900000067964022,900000071573014,1.226,
宁波轨道交通,轨道交通5号线,钱湖南路,鄞州区政府,900000071573014,900000067955011,1.679,
宁波轨道交通,轨道交通5号线,鄞州区政府,钟公庙,900000067955011,900000071573016,1.086,
宁波轨道交通,轨道交通5号线,钟公庙,庙堰,900000071573016,900000071573017,1.219,
宁波轨道交通,轨道交通5号线,庙堰,雅渡,900000071573017,900000071573018,1.629,
宁波轨道交通,轨道交通5号线,雅渡,石碶,900000071573018,330200021780005,0.882,
宁波轨道交通,轨道交通5号线,石碶,同德路,330200021780005,900000071573020,1.369,
宁波轨道交通,轨道交通5号线,同德路,张家潭,900000071573020,900000071573021,1.57,
宁波轨道交通,轨道交通5号线,张家潭,布政,900000071573021,900000071573022,1.111,
