系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
上海地铁,地铁16号线,龙阳路,0.0,0.0,121.557634,31.203575,310100024526014,,
上海地铁,地铁16号线,华夏中路,3.929,3.929,121.583109,31.175759,310100024524024,,
上海地铁,地铁16号线,罗山路,2.678,6.607,121.593152,31.153259,310100024518033,,
上海地铁,地铁16号线,周浦东,4.981,11.588,121.606895,31.110038,310100024526011,,
上海地铁,地铁16号线,鹤沙航城,3.609,15.197,121.611239,31.077797,310100024526010,,
上海地铁,地铁16号线,航头东,2.613,17.81,121.617494,31.054919,310100024526009,,
上海地铁,地铁16号线,新场,3.175,20.985,121.648980,31.045561,310100024526008,,
上海地铁,地铁16号线,野生动物园,4.815,25.8,121.699218,31.050325,310100024526007,,
上海地铁,地铁16号线,惠南,5.963,31.763,121.761677,31.053828,310100024526006,,
上海地铁,地铁16号线,惠南东,4.317,36.08,121.793800,31.026448,310100024526005,,
上海地铁,地铁16号线,书院,9.222,45.302,121.850520,30.959264,310100024526004,,
上海地铁,地铁16号线,临港大道,6.993,52.295,121.910851,30.923519,310100024526003,,
上海地铁,地铁16号线,滴水湖,2.543,54.838,121.929583,30.907245,310100024526002,,
